number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
106,0.9228200917614241,2025-04-24 21:00:10.927615,2025-04-24 21:00:14.908332,0 days 00:00:03.980717,0.2592582666603409,RBF,6.437926557634381e-05,2.8611785101187207e-09,0.5,TPESampler,COMPLETE
107,0.33018823431625915,2025-04-24 21:00:12.188723,2025-04-24 21:00:13.733142,0 days 00:00:01.544419,56393.56252400006,Matern,10.959333183072792,0.0005329195698627115,0.5,TPESampler,COMPLETE
108,0.2867973055363729,2025-04-24 21:00:12.640042,2025-04-24 21:00:14.121227,0 days 00:00:01.481185,221.15403411195447,Matern,2.9656802066003207,0.7390686788618639,1.5,TPESampler,COMPLETE
109,0.28679726572161546,2025-04-24 21:00:13.921796,2025-04-24 21:00:15.879600,0 days 00:00:01.957804,4511.782043781693,Matern,4.565914937899284,0.009927984403876856,1.5,TPESampler,COMPLETE
110,0.922820092924495,2025-04-24 21:00:14.333406,2025-04-24 21:00:16.677990,0 days 00:00:02.344584,10993.74217223901,RBF,37251.695530146935,0.03570635720435114,1.5,TPESampler,COMPLETE
111,0.2867969579427591,2025-04-24 21:00:15.113622,2025-04-24 21:00:16.937813,0 days 00:00:01.824191,720.1985960610726,Matern,59.9611362442707,0.018916251564586893,1.5,TPESampler,COMPLETE
112,0.28679724126601924,2025-04-24 21:00:16.076909,2025-04-24 21:00:18.533713,0 days 00:00:02.456804,23.222689877202253,Matern,10660.202623816811,0.22791861641927016,1.5,TPESampler,COMPLETE
113,0.2867972626178771,2025-04-24 21:00:16.881443,2025-04-24 21:00:18.772721,0 days 00:00:01.891278,1466.2626168847014,Matern,63.77575591375055,0.004935286465821009,1.5,TPESampler,COMPLETE
114,0.286797245827817,2025-04-24 21:00:17.133328,2025-04-24 21:00:19.027658,0 days 00:00:01.894330,93.03783021807176,Matern,70.78229162844066,0.008279772415837447,1.5,TPESampler,COMPLETE
115,0.9228200926164665,2025-04-24 21:00:18.742568,2025-04-24 21:00:20.889437,0 days 00:00:02.146869,1.6434967927948638,Matern,32501.22427119141,0.001056816475948874,1.5,TPESampler,COMPLETE
116,0.2867972534528217,2025-04-24 21:00:18.931343,2025-04-24 21:00:20.842279,0 days 00:00:01.910936,6666.879566338952,Matern,12.778434584747341,0.0003474799803416339,1.5,TPESampler,COMPLETE
117,0.28679721575777295,2025-04-24 21:00:19.281908,2025-04-24 21:00:21.095824,0 days 00:00:01.813916,4.501740583195157,Matern,0.9267824906961238,0.012098878062477616,1.5,TPESampler,COMPLETE
118,0.9494322793352972,2025-04-24 21:00:21.007157,2025-04-24 21:00:22.982401,0 days 00:00:01.975244,4.444509354042226,Matern,60564.92066426539,0.05181155941189617,1.5,TPESampler,COMPLETE
119,0.33018882483919554,2025-04-24 21:00:21.053578,2025-04-24 21:00:24.800128,0 days 00:00:03.746550,0.0033897207664416807,Matern,993.1963756691123,0.22305715111910246,0.5,TPESampler,COMPLETE
120,0.9228200924635841,2025-04-24 21:00:21.279823,2025-04-24 21:00:23.009977,0 days 00:00:01.730154,0.32823718302856675,Matern,11.691795605582668,3.9558457394489854e-05,1.5,TPESampler,COMPLETE
121,0.9228200920415396,2025-04-24 21:00:23.135298,2025-04-24 21:00:25.729592,0 days 00:00:02.594294,0.24543891567937387,Matern,59.406156038537304,0.016270940632757167,1.5,TPESampler,COMPLETE
122,0.28679721262680535,2025-04-24 21:00:23.185999,2025-04-24 21:00:25.069594,0 days 00:00:01.883595,10.349867068200291,Matern,1.2862858131389996,0.0011949171363420947,1.5,TPESampler,COMPLETE
123,0.9228200925209199,2025-04-24 21:00:25.026887,2025-04-24 21:00:27.679514,0 days 00:00:02.652627,1.6435585275898736,Matern,0.006671431480547661,0.0002160328972873868,1.5,TPESampler,COMPLETE
124,0.286797183652414,2025-04-24 21:00:25.286943,2025-04-24 21:00:27.221948,0 days 00:00:01.935005,23.67553017515139,Matern,0.49980523326478205,0.00032310420792381966,1.5,TPESampler,COMPLETE
125,0.28679724837876736,2025-04-24 21:00:25.982317,2025-04-24 21:00:27.681042,0 days 00:00:01.698725,0.3273325597900391,Matern,0.2853446794554209,0.058599387292049776,1.5,TPESampler,COMPLETE
126,0.949432271109202,2025-04-24 21:00:27.452720,2025-04-24 21:00:28.686384,0 days 00:00:01.233664,7.1421206606480165,Matern,1.4506092849799495,7.049904538347084e-06,1.5,TPESampler,COMPLETE
127,0.9228200924426427,2025-04-24 21:00:27.911118,2025-04-24 21:00:29.806628,0 days 00:00:01.895510,190.65206605855576,Matern,0.005346548789166369,0.0022331772394340484,1.5,TPESampler,COMPLETE
128,0.9494317804773704,2025-04-24 21:00:27.958040,2025-04-24 21:00:29.471442,0 days 00:00:01.513402,9.815343935545114,Matern,0.02879286992405183,0.02420760404118032,1.5,TPESampler,COMPLETE
