number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
56,0.7236280706063103,2025-04-24 21:00:42.386882,2025-04-24 21:00:43.173530,0 days 00:00:00.786648,squared_error,33,log2,1,4,best,TPESampler,COMPLETE
57,1.3262151716400714,2025-04-24 21:00:42.800456,2025-04-24 21:00:43.476695,0 days 00:00:00.676239,squared_error,1,sqrt,8,19,random,TPESampler,COMPLETE
58,0.956874881353438,2025-04-24 21:00:43.211620,2025-04-24 21:00:43.980477,0 days 00:00:00.768857,squared_error,27,sqrt,6,16,best,TPESampler,COMPLETE
59,1.019101943004136,2025-04-24 21:00:43.479962,2025-04-24 21:00:44.548348,0 days 00:00:01.068386,squared_error,27,sqrt,1,2,random,TPESampler,COMPLETE
60,0.630903210521767,2025-04-24 21:00:43.881980,2025-04-24 21:00:44.714817,0 days 00:00:00.832837,friedman_mse,35,log2,1,7,best,TPESampler,COMPLETE
61,0.630903210521767,2025-04-24 21:00:44.467371,2025-04-24 21:00:45.211711,0 days 00:00:00.744340,friedman_mse,35,log2,1,7,best,TPESampler,COMPLETE
62,1.4138971746431086,2025-04-24 21:00:44.784966,2025-04-24 21:00:45.509873,0 days 00:00:00.724907,absolute_error,31,log2,4,5,best,TPESampler,COMPLETE
63,1.3677569516816517,2025-04-24 21:00:44.954797,2025-04-24 21:00:45.714026,0 days 00:00:00.759229,friedman_mse,35,log2,4,11,best,TPESampler,COMPLETE
64,1.3322345159230207,2025-04-24 21:00:45.458859,2025-04-24 21:00:46.114539,0 days 00:00:00.655680,friedman_mse,24,sqrt,8,3,random,TPESampler,COMPLETE
65,0.7404423285719909,2025-04-24 21:00:45.794996,2025-04-24 21:00:46.566487,0 days 00:00:00.771491,friedman_mse,34,log2,1,9,best,TPESampler,COMPLETE
66,0.6941102797207614,2025-04-24 21:00:45.998365,2025-04-24 21:00:46.761266,0 days 00:00:00.762901,friedman_mse,35,log2,1,9,best,TPESampler,COMPLETE
67,0.7236280706063103,2025-04-24 21:00:46.413118,2025-04-24 21:00:47.134356,0 days 00:00:00.721238,squared_error,33,log2,1,4,best,TPESampler,COMPLETE
68,1.0993459613881815,2025-04-24 21:00:46.798232,2025-04-24 21:00:47.489495,0 days 00:00:00.691263,absolute_error,28,sqrt,1,18,random,TPESampler,COMPLETE
69,1.3498283893880367,2025-04-24 21:00:47.042384,2025-04-24 21:00:47.783635,0 days 00:00:00.741251,friedman_mse,8,log2,2,19,random,TPESampler,COMPLETE
70,1.3625908614134468,2025-04-24 21:00:47.379099,2025-04-24 21:00:48.068449,0 days 00:00:00.689350,friedman_mse,8,log2,5,6,random,TPESampler,COMPLETE
71,1.3679729947669532,2025-04-24 21:00:47.741379,2025-04-24 21:00:48.419715,0 days 00:00:00.678336,friedman_mse,29,log2,9,14,random,TPESampler,COMPLETE
72,0.827471460821445,2025-04-24 21:00:48.062369,2025-04-24 21:00:48.715388,0 days 00:00:00.653019,friedman_mse,23,log2,2,10,best,TPESampler,COMPLETE
73,0.7694633557640977,2025-04-24 21:00:48.308553,2025-04-24 21:00:49.010928,0 days 00:00:00.702375,friedman_mse,33,log2,1,9,best,TPESampler,COMPLETE
74,0.6966010673464934,2025-04-24 21:00:48.668248,2025-04-24 21:00:49.371692,0 days 00:00:00.703444,squared_error,31,sqrt,1,2,best,TPESampler,COMPLETE
75,1.3679729947669532,2025-04-24 21:00:48.955928,2025-04-24 21:00:49.728997,0 days 00:00:00.773069,friedman_mse,4,log2,7,15,random,TPESampler,COMPLETE
76,0.6515992903689769,2025-04-24 21:00:49.254105,2025-04-24 21:00:50.085075,0 days 00:00:00.830970,absolute_error,31,log2,1,8,best,TPESampler,COMPLETE
77,0.8246228047102716,2025-04-24 21:00:49.662899,2025-04-24 21:00:50.357908,0 days 00:00:00.695009,friedman_mse,33,log2,2,6,best,TPESampler,COMPLETE
78,0.9896382479483637,2025-04-24 21:00:50.011378,2025-04-24 21:00:50.754728,0 days 00:00:00.743350,absolute_error,34,log2,2,13,best,TPESampler,COMPLETE
79,0.7401483816902585,2025-04-24 21:00:50.305085,2025-04-24 21:00:51.045522,0 days 00:00:00.740437,absolute_error,30,log2,1,7,best,TPESampler,COMPLETE
80,1.4138971746431086,2025-04-24 21:00:50.635533,2025-04-24 21:00:51.353449,0 days 00:00:00.717916,absolute_error,1,log2,9,14,best,TPESampler,COMPLETE
81,1.3848240990448737,2025-04-24 21:00:50.986844,2025-04-24 21:00:51.676559,0 days 00:00:00.689715,absolute_error,24,log2,1,11,random,TPESampler,COMPLETE
82,1.3677569516816517,2025-04-24 21:00:51.247561,2025-04-24 21:00:52.015180,0 days 00:00:00.767619,squared_error,28,log2,4,5,best,TPESampler,COMPLETE
83,1.4148597056909755,2025-04-24 21:00:51.625232,2025-04-24 21:00:52.419588,0 days 00:00:00.794356,absolute_error,14,log2,10,20,random,TPESampler,COMPLETE
84,0.695844345141541,2025-04-24 21:00:51.972709,2025-04-24 21:00:52.757652,0 days 00:00:00.784943,friedman_mse,35,log2,1,6,best,TPESampler,COMPLETE
85,0.7258394248784972,2025-04-24 21:00:52.309770,2025-04-24 21:00:52.941957,0 days 00:00:00.632187,friedman_mse,31,log2,1,16,best,TPESampler,COMPLETE
86,0.7214734634094812,2025-04-24 21:00:52.704888,2025-04-24 21:00:53.454767,0 days 00:00:00.749879,absolute_error,35,log2,1,8,best,TPESampler,COMPLETE
87,1.4058384605507321,2025-04-24 21:00:53.014622,2025-04-24 21:00:53.788205,0 days 00:00:00.773583,absolute_error,18,sqrt,10,20,best,TPESampler,COMPLETE
88,1.1707428444729318,2025-04-24 21:00:53.176304,2025-04-24 21:00:53.983979,0 days 00:00:00.807675,squared_error,32,log2,1,4,random,TPESampler,COMPLETE
89,1.3416769911136657,2025-04-24 21:00:53.738008,2025-04-24 21:00:54.590713,0 days 00:00:00.852705,absolute_error,35,sqrt,7,5,random,TPESampler,COMPLETE
90,1.0131068116827324,2025-04-24 21:00:54.057951,2025-04-24 21:00:54.761803,0 days 00:00:00.703852,absolute_error,35,log2,3,3,best,TPESampler,COMPLETE
91,0.7316816527911695,2025-04-24 21:00:54.200455,2025-04-24 21:00:55.020185,0 days 00:00:00.819730,squared_error,21,log2,1,2,best,TPESampler,COMPLETE
92,1.344003918250421,2025-04-24 21:00:54.803377,2025-04-24 21:00:55.656312,0 days 00:00:00.852935,friedman_mse,34,log2,3,4,random,TPESampler,COMPLETE
93,0.7247446321475927,2025-04-24 21:00:54.966754,2025-04-24 21:00:55.719794,0 days 00:00:00.753040,friedman_mse,32,log2,1,5,best,TPESampler,COMPLETE
94,0.8297844106018962,2025-04-24 21:00:55.248108,2025-04-24 21:00:55.985655,0 days 00:00:00.737547,friedman_mse,35,log2,2,8,best,TPESampler,COMPLETE
95,0.7148015383195052,2025-04-24 21:00:55.891012,2025-04-24 21:00:56.702502,0 days 00:00:00.811490,friedman_mse,35,log2,1,11,best,TPESampler,COMPLETE
96,0.630903210521767,2025-04-24 21:00:55.946049,2025-04-24 21:00:56.753909,0 days 00:00:00.807860,friedman_mse,35,log2,1,7,best,TPESampler,COMPLETE
97,0.851370255680307,2025-04-24 21:00:56.254670,2025-04-24 21:00:57.067041,0 days 00:00:00.812371,absolute_error,18,sqrt,1,2,best,TPESampler,COMPLETE
98,0.6962347938275559,2025-04-24 21:00:56.966914,2025-04-24 21:00:57.671366,0 days 00:00:00.704452,squared_error,35,log2,1,3,best,TPESampler,COMPLETE
99,1.3264303992535873,2025-04-24 21:00:57.028966,2025-04-24 21:00:57.922010,0 days 00:00:00.893044,friedman_mse,3,sqrt,3,12,best,TPESampler,COMPLETE
100,1.3262151716400714,2025-04-24 21:00:57.312136,2025-04-24 21:00:58.254637,0 days 00:00:00.942501,friedman_mse,5,sqrt,10,14,random,TPESampler,COMPLETE
101,1.123391360187449,2025-04-24 21:00:57.958043,2025-04-24 21:00:58.647411,0 days 00:00:00.689368,friedman_mse,33,sqrt,2,8,random,TPESampler,COMPLETE
102,0.7458330308724526,2025-04-24 21:00:58.165546,2025-04-24 21:00:58.962229,0 days 00:00:00.796683,friedman_mse,27,log2,1,7,best,TPESampler,COMPLETE
103,0.8246228047102716,2025-04-24 21:00:58.504427,2025-04-24 21:00:59.164205,0 days 00:00:00.659778,friedman_mse,35,log2,2,6,best,TPESampler,COMPLETE
104,0.6698808592957831,2025-04-24 21:00:58.908648,2025-04-24 21:00:59.569411,0 days 00:00:00.660763,friedman_mse,35,log2,1,5,best,TPESampler,COMPLETE
105,0.6234752034897817,2025-04-24 21:00:59.222131,2025-04-24 21:01:00.088922,0 days 00:00:00.866791,absolute_error,34,sqrt,1,2,random,TPESampler,COMPLETE
106,1.3679729947669532,2025-04-24 21:00:59.403832,2025-04-24 21:01:00.178876,0 days 00:00:00.775044,squared_error,30,log2,8,10,random,TPESampler,COMPLETE
107,0.7105690610052176,2025-04-24 21:00:59.872481,2025-04-24 21:01:00.632256,0 days 00:00:00.759775,absolute_error,32,sqrt,1,3,random,TPESampler,COMPLETE
108,0.8988701550681125,2025-04-24 21:01:00.287668,2025-04-24 21:01:01.163192,0 days 00:00:00.875524,squared_error,17,sqrt,1,3,best,TPESampler,COMPLETE
109,1.335711393574172,2025-04-24 21:01:00.377712,2025-04-24 21:01:01.169377,0 days 00:00:00.791665,absolute_error,35,sqrt,3,3,random,TPESampler,COMPLETE
110,0.8248327555402727,2025-04-24 21:01:00.907222,2025-04-24 21:01:01.556168,0 days 00:00:00.648946,squared_error,27,log2,2,5,best,TPESampler,COMPLETE
111,0.9282849699210477,2025-04-24 21:01:01.386163,2025-04-24 21:01:02.067969,0 days 00:00:00.681806,squared_error,26,sqrt,2,2,best,TPESampler,COMPLETE
112,1.4138971746431086,2025-04-24 21:01:01.437660,2025-04-24 21:01:02.182228,0 days 00:00:00.744568,absolute_error,26,log2,6,20,best,TPESampler,COMPLETE
113,1.3677569516816517,2025-04-24 21:01:01.782983,2025-04-24 21:01:02.488469,0 days 00:00:00.705486,friedman_mse,13,log2,9,4,best,TPESampler,COMPLETE
114,0.8479044598855919,2025-04-24 21:01:02.357564,2025-04-24 21:01:03.208202,0 days 00:00:00.850638,absolute_error,23,log2,1,11,best,TPESampler,COMPLETE
115,0.7131902576718143,2025-04-24 21:01:02.443639,2025-04-24 21:01:03.273066,0 days 00:00:00.829427,absolute_error,30,log2,1,3,best,TPESampler,COMPLETE
116,0.5872420994323145,2025-04-24 21:01:02.689433,2025-04-24 21:01:03.518789,0 days 00:00:00.829356,absolute_error,35,sqrt,1,2,best,TPESampler,COMPLETE
117,1.2076965740491883,2025-04-24 21:01:03.433901,2025-04-24 21:01:04.212758,0 days 00:00:00.778857,absolute_error,27,sqrt,3,5,best,TPESampler,COMPLETE
118,0.5903507012833906,2025-04-24 21:01:03.476037,2025-04-24 21:01:04.371834,0 days 00:00:00.895797,absolute_error,32,sqrt,1,3,best,TPESampler,COMPLETE
