number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
89,0.3692708333177682,2025-04-24 21:22:51.140640,2025-04-24 21:23:30.002351,0 days 00:00:38.861711,True,absolute_error,43,,1,2,294,TPESampler,COMPLETE
90,0.37023708307625747,2025-04-24 21:23:23.186652,2025-04-24 21:23:56.696238,0 days 00:00:33.509586,True,absolute_error,50,,1,2,358,TPESampler,COMPLETE
91,0.5630539159652702,2025-04-24 21:23:26.838156,2025-04-24 21:23:55.295230,0 days 00:00:28.457074,False,absolute_error,40,,4,2,531,TPESampler,COMPLETE
92,0.36840952804772426,2025-04-24 21:23:30.164784,2025-04-24 21:23:57.182305,0 days 00:00:27.017521,True,absolute_error,49,,1,2,296,TPESampler,COMPLETE
93,0.43145973223161393,2025-04-24 21:23:55.461059,2025-04-24 21:23:59.980653,0 days 00:00:04.519594,False,absolute_error,45,log2,1,2,160,TPESampler,COMPLETE
94,0.3731977791199048,2025-04-24 21:23:56.862551,2025-04-24 21:24:30.718448,0 days 00:00:33.855897,True,absolute_error,46,,1,2,367,TPESampler,COMPLETE
95,0.8120651138133431,2025-04-24 21:23:57.371613,2025-04-24 21:24:02.153798,0 days 00:00:04.782185,False,absolute_error,5,sqrt,1,18,403,TPESampler,COMPLETE
96,0.3690650317623949,2025-04-24 21:24:00.139827,2025-04-24 21:24:40.947906,0 days 00:00:40.808079,True,absolute_error,50,,1,2,414,TPESampler,COMPLETE
97,0.4140669881804371,2025-04-24 21:24:02.431078,2025-04-24 21:24:21.980693,0 days 00:00:19.549615,True,absolute_error,41,,2,2,353,TPESampler,COMPLETE
98,0.9622393383221485,2025-04-24 21:24:22.146467,2025-04-24 21:24:22.988086,0 days 00:00:00.841619,False,squared_error,22,log2,10,2,497,TPESampler,COMPLETE
99,0.4763796026827302,2025-04-24 21:24:23.152553,2025-04-24 21:24:28.098091,0 days 00:00:04.945538,True,absolute_error,44,log2,1,2,350,TPESampler,COMPLETE
100,0.9479822066131954,2025-04-24 21:24:28.256078,2025-04-24 21:24:29.684209,0 days 00:00:01.428131,True,squared_error,40,log2,5,2,849,TPESampler,COMPLETE
101,0.9563006883271985,2025-04-24 21:24:29.848089,2025-04-24 21:24:31.211983,0 days 00:00:01.363894,True,squared_error,16,log2,6,48,687,TPESampler,COMPLETE
102,0.37101617810812176,2025-04-24 21:24:30.893649,2025-04-24 21:24:57.629856,0 days 00:00:26.736207,True,absolute_error,47,,1,2,261,TPESampler,COMPLETE
103,0.3702957476065271,2025-04-24 21:24:31.452186,2025-04-24 21:24:48.413844,0 days 00:00:16.961658,True,absolute_error,48,,1,2,170,TPESampler,COMPLETE
104,0.3710952405866859,2025-04-24 21:24:41.118726,2025-04-24 21:25:23.149747,0 days 00:00:42.031021,True,absolute_error,49,,1,2,383,TPESampler,COMPLETE
