number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
24,0.06378883868455887,2025-04-25 13:58:07.953573,2025-04-25 13:59:05.581841,0 days 00:00:57.628268,0.012900805242580297,112,1,3,112,0.11370754169612117,240,3,1,32,0.17602322288369474,128,4,1,112,0.26638234500564667,288,104.0,312.0,3,2,0.0007973100428592855,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_24_best_state.pt,"{'learning_rate': 0.0007973100428592855, 'lr_reduce': 0.6}",TPESampler,COMPLETE
25,0.06618824601173401,2025-04-25 13:58:16.349743,2025-04-25 13:59:42.540445,0 days 00:01:26.190702,0.05855364464826748,112,3,2,64,0.0261624557849787,96,4,3,112,0.18864784375200383,48,1,4,80,0.03824189141554856,296,32.0,,2,2,0.0013355256872965397,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_25_best_state.pt,"{'learning_rate': 0.0013355256872965397, 'lr_reduce': 0.6}",TPESampler,COMPLETE
26,0.0586661621928215,2025-04-25 13:59:05.740227,2025-04-25 14:00:00.467298,0 days 00:00:54.727071,0.053459518078786725,112,1,4,80,0.060973968548731106,208,2,1,64,0.17271113871497062,112,3,1,128,0.16244864942453685,440,160.0,,2,2,0.005909953390797311,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_26_best_state.pt,"{'learning_rate': 0.005909953390797311, 'lr_reduce': 0.6}",TPESampler,COMPLETE
27,0.06418120861053467,2025-04-25 13:59:16.262055,2025-04-25 14:00:49.452376,0 days 00:01:33.190321,0.08343619988429478,128,3,1,64,0.0757390543588575,96,2,3,128,0.16103982701108582,48,2,4,128,0.004549062773447261,160,136.0,200.0,3,1,0.000535570800363478,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_27_best_state.pt,"{'learning_rate': 0.000535570800363478, 'lr_reduce': 0.6}",TPESampler,COMPLETE
28,0.06047191843390465,2025-04-25 13:59:42.734652,2025-04-25 14:00:56.003646,0 days 00:01:13.268994,0.0018657376741240406,160,3,1,32,0.02489894157843669,80,3,2,64,0.18687544231989212,32,1,4,96,0.13680390346976626,208,224.0,368.0,3,2,0.0001933500462417257,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_28_best_state.pt,"{'learning_rate': 0.0001933500462417257, 'lr_reduce': 0.6}",TPESampler,COMPLETE
29,0.06516855210065842,2025-04-25 14:00:00.636646,2025-04-25 14:01:02.657552,0 days 00:01:02.020906,0.08127017556685809,128,1,4,64,0.10824704188566284,176,2,2,48,0.10520550537751422,96,2,1,128,0.20291966206176315,368,208.0,,2,2,0.004017662558562532,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_29_best_state.pt,"{'learning_rate': 0.004017662558562532, 'lr_reduce': 0.6}",TPESampler,COMPLETE
30,0.07941018044948578,2025-04-25 14:00:49.818083,2025-04-25 14:02:06.620071,0 days 00:01:16.801988,0.08700135392051209,112,3,4,112,0.023141219178175777,192,1,1,112,0.09432179052120518,112,3,1,80,0.14589796594592128,456,184.0,400.0,3,2,0.0063654504945487205,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_30_best_state.pt,"{'learning_rate': 0.0063654504945487205, 'lr_reduce': 0.6}",TPESampler,COMPLETE
31,0.0698162391781807,2025-04-25 14:00:56.223231,2025-04-25 14:02:22.829282,0 days 00:01:26.606051,0.09549106856968773,160,1,4,96,0.03083579668861842,192,1,1,64,0.2749025889687543,128,4,1,112,0.07778512696198753,256,280.0,,2,2,0.004837582721093814,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_31_best_state.pt,"{'learning_rate': 0.004837582721093814, 'lr_reduce': 0.6}",TPESampler,COMPLETE
32,0.0856681689620018,2025-04-25 14:01:02.838529,2025-04-25 14:02:55.948233,0 days 00:01:53.109704,0.07234206860966783,192,2,3,64,0.010083974620781658,224,3,1,80,0.15870559301247947,128,4,1,128,0.15525675963002095,448,,,1,1,0.0043197623288362295,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_32_best_state.pt,"{'learning_rate': 0.0043197623288362295, 'lr_reduce': 0.6}",TPESampler,COMPLETE
33,0.05565783008933067,2025-04-25 14:02:06.756555,2025-04-25 14:03:45.933753,0 days 00:01:39.177198,0.059007632803438764,160,2,1,32,0.03480336947608637,96,3,3,32,0.175300660357781,32,2,3,96,0.09612861770561006,120,200.0,,2,2,0.0004419516641942782,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_33_best_state.pt,"{'learning_rate': 0.0004419516641942782, 'lr_reduce': 0.6}",TPESampler,COMPLETE
34,0.06406496465206146,2025-04-25 14:02:23.021854,2025-04-25 14:04:01.026987,0 days 00:01:38.005133,0.045699103570144124,224,4,1,32,0.021552481834822636,80,4,1,96,0.21168015424192643,48,1,4,112,0.1082409223848018,192,184.0,360.0,3,2,0.00017204858448489053,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_34_best_state.pt,"{'learning_rate': 0.00017204858448489053, 'lr_reduce': 0.6}",TPESampler,COMPLETE
35,0.05856290087103844,2025-04-25 14:02:56.165547,2025-04-25 14:04:29.711248,0 days 00:01:33.545701,0.014688861141118647,128,2,1,48,0.017817527842615664,64,4,1,80,0.24314809433721185,32,1,4,96,0.2046457623446588,376,160.0,376.0,3,2,0.0002675308898924101,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_35_best_state.pt,"{'learning_rate': 0.0002675308898924101, 'lr_reduce': 0.6}",TPESampler,COMPLETE
36,0.05877778306603432,2025-04-25 14:03:46.080295,2025-04-25 14:05:25.688223,0 days 00:01:39.607928,0.06663703297729347,176,3,1,32,0.03919476592984908,96,3,4,32,0.14910874140999025,48,2,4,128,0.07621710628970535,136,176.0,,2,2,0.00019748394550257606,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_36_best_state.pt,"{'learning_rate': 0.00019748394550257606, 'lr_reduce': 0.6}",TPESampler,COMPLETE
37,0.1057802215218544,2025-04-25 14:04:01.199648,2025-04-25 14:05:18.103753,0 days 00:01:16.904105,0.06995250768873437,80,2,4,64,0.03792729869501786,192,2,2,64,0.21038260645320198,128,4,3,128,0.1524808348089917,504,256.0,,2,2,0.00795146448739562,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_37_best_state.pt,"{'learning_rate': 0.00795146448739562, 'lr_reduce': 0.6}",TPESampler,COMPLETE
38,0.05581115558743477,2025-04-25 14:04:29.917759,2025-04-25 14:05:40.351368,0 days 00:01:10.433609,0.05973926321919145,112,2,1,48,0.016772819108813227,80,4,1,64,0.23896877984337112,32,1,3,96,0.20650627572944702,440,208.0,504.0,3,2,0.0011963181936045326,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_38_best_state.pt,"{'learning_rate': 0.0011963181936045326, 'lr_reduce': 0.6}",TPESampler,COMPLETE
39,0.05528565123677254,2025-04-25 14:05:18.345981,2025-04-25 14:06:30.761416,0 days 00:01:12.415435,0.031760363081790366,192,2,1,32,0.04563281492854103,128,3,1,112,0.23558145458322904,32,2,4,128,0.28385455977414054,464,184.0,424.0,3,2,0.00027309940870911024,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_39_best_state.pt,"{'learning_rate': 0.00027309940870911024, 'lr_reduce': 0.6}",TPESampler,COMPLETE
40,0.08281198889017105,2025-04-25 14:05:25.884459,2025-04-25 14:06:40.237185,0 days 00:01:14.352726,0.08797676901900006,112,1,3,96,0.173512849665849,208,2,1,96,0.20478437160868895,96,3,1,112,0.1317965673083546,504,,,1,2,0.002471149404014879,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_40_best_state.pt,"{'learning_rate': 0.002471149404014879, 'lr_reduce': 0.6}",TPESampler,COMPLETE
41,0.06322196871042252,2025-04-25 14:05:40.487618,2025-04-25 14:07:00.394285,0 days 00:01:19.906667,0.0962133483883057,144,1,1,80,0.02509923383993619,96,3,1,48,0.17718281333837083,48,1,2,80,0.20127472773494928,384,288.0,496.0,3,2,0.0004631256812148322,0.6,/work3/arnaou/checkpoints/groupgat_Omega_trial_41_best_state.pt,"{'learning_rate': 0.0004631256812148322, 'lr_reduce': 0.6}",TPESampler,COMPLETE
