number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
33,0.017201334238052368,2025-04-24 21:08:29.228262,2025-04-24 21:10:26.398033,0 days 00:01:57.169771,0.07215945820628802,224,2,2,32,0.08538887070870922,96,3,3,48,0.2457323041981591,80,3,4,80,0.12124890037826072,120,512.0,,2,2,0.004712912623401777,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_33_best_state.pt,"{'learning_rate': 0.004712912623401777, 'lr_reduce': 0.6}",TPESampler,COMPLETE
34,0.013732043094933033,2025-04-24 21:09:02.648146,2025-04-24 21:11:09.940682,0 days 00:02:07.292536,0.13608981352623875,240,4,4,48,0.16095411545569277,96,4,4,48,0.21999091077181285,96,2,3,48,0.16042281788103785,200,496.0,,2,2,0.0035766789833716955,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_34_best_state.pt,"{'learning_rate': 0.0035766789833716955, 'lr_reduce': 0.6}",TPESampler,COMPLETE
35,0.011271052062511444,2025-04-24 21:09:25.028828,2025-04-24 21:10:49.617545,0 days 00:01:24.588717,0.02164560278226839,176,2,3,80,0.012686440357498087,112,3,1,80,0.18797151319373215,80,4,4,64,0.2728081129016858,168,512.0,,2,2,0.0022626250742193705,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_35_best_state.pt,"{'learning_rate': 0.0022626250742193705, 'lr_reduce': 0.6}",TPESampler,COMPLETE
36,0.01057655829936266,2025-04-24 21:10:26.608104,2025-04-24 21:11:23.905633,0 days 00:00:57.297529,0.08746530178300951,256,3,3,80,0.07613065313289762,208,2,2,48,0.18423051015044822,112,2,4,96,0.2968627051119628,248,512.0,,2,2,0.0015440377985697748,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_36_best_state.pt,"{'learning_rate': 0.0015440377985697748, 'lr_reduce': 0.6}",TPESampler,COMPLETE
37,0.009313603863120079,2025-04-24 21:10:49.895224,2025-04-24 21:12:09.044982,0 days 00:01:19.149758,0.005046978142927627,128,3,3,64,0.15861855716958984,64,3,3,32,0.2479416556855781,112,2,2,64,0.24368720320339549,200,,,1,2,0.004349436673894386,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_37_best_state.pt,"{'learning_rate': 0.004349436673894386, 'lr_reduce': 0.6}",TPESampler,COMPLETE
38,0.01021431665867567,2025-04-24 21:11:10.110348,2025-04-24 21:12:42.391004,0 days 00:01:32.280656,0.05594772005401263,160,3,2,64,0.01993168633163497,160,2,3,80,0.27973541654439443,112,4,3,80,0.2809642995493275,152,440.0,328.0,3,2,0.002394096417709157,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_38_best_state.pt,"{'learning_rate': 0.002394096417709157, 'lr_reduce': 0.6}",TPESampler,COMPLETE
39,0.016453789547085762,2025-04-24 21:11:24.072808,2025-04-24 21:13:05.955581,0 days 00:01:41.882773,0.010007655510200816,256,3,4,80,0.08102980678713423,192,3,2,32,0.19065210260246762,112,1,4,112,0.2920005449058225,312,512.0,,2,2,0.001082544207719041,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_39_best_state.pt,"{'learning_rate': 0.001082544207719041, 'lr_reduce': 0.6}",TPESampler,COMPLETE
40,0.013586870394647121,2025-04-24 21:12:09.404291,2025-04-24 21:13:51.748501,0 days 00:01:42.344210,0.08591821419920369,96,2,2,64,0.1947722493127092,64,2,4,32,0.219433432767851,128,2,2,64,0.23943800375327992,208,,,1,2,0.007492871386822675,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_40_best_state.pt,"{'learning_rate': 0.007492871386822675, 'lr_reduce': 0.6}",TPESampler,COMPLETE
41,0.013566402718424797,2025-04-24 21:12:42.661296,2025-04-24 21:13:57.038976,0 days 00:01:14.377680,0.08479644206407047,160,2,2,96,0.05466970184866303,160,3,3,64,0.292051380025933,128,4,2,80,0.188217931391692,248,320.0,328.0,3,2,0.00641605340525092,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_41_best_state.pt,"{'learning_rate': 0.00641605340525092, 'lr_reduce': 0.6}",TPESampler,COMPLETE
42,0.3356500566005707,2025-04-24 21:13:06.115949,2025-04-24 21:13:56.180298,0 days 00:00:50.064349,0.013266264739005412,96,3,4,48,0.1699718390593394,64,4,3,64,0.2924074133725102,112,1,1,80,0.27365498326041776,112,,,1,2,0.0016532624677716844,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_42_best_state.pt,"{'learning_rate': 0.0016532624677716844, 'lr_reduce': 0.6}",TPESampler,COMPLETE
43,0.9600897431373596,2025-04-24 21:13:51.977337,2025-04-24 21:14:16.647568,0 days 00:00:24.670231,0.046787166113010065,224,3,3,80,0.02330290059080171,176,1,4,96,0.2557161688393978,80,3,3,96,0.2923464826858491,48,448.0,408.0,3,2,0.007036394182242617,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_43_best_state.pt,"{'learning_rate': 0.007036394182242617, 'lr_reduce': 0.6}",TPESampler,COMPLETE
44,0.011573027819395065,2025-04-24 21:13:56.332324,2025-04-24 21:16:00.553811,0 days 00:02:04.221487,0.0888335555857877,128,3,3,32,0.011432128567015731,144,2,3,64,0.17637933441698628,112,3,1,48,0.24866453078150705,128,440.0,264.0,3,2,0.0012421360084798809,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_44_best_state.pt,"{'learning_rate': 0.0012421360084798809, 'lr_reduce': 0.6}",TPESampler,COMPLETE
45,0.013292812742292881,2025-04-24 21:13:57.259648,2025-04-24 21:15:55.444280,0 days 00:01:58.184632,0.0869484311028316,256,2,2,112,0.07659878884412809,256,2,2,32,0.11195975349885019,112,3,4,96,0.2870013251873745,344,512.0,,2,2,0.0032748296824499125,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_45_best_state.pt,"{'learning_rate': 0.0032748296824499125, 'lr_reduce': 0.6}",TPESampler,COMPLETE
46,0.018431391566991806,2025-04-24 21:14:16.845449,2025-04-24 21:16:37.835667,0 days 00:02:20.990218,0.17490571478010575,240,3,3,64,0.016386548829601978,192,2,2,48,0.11490337403975241,128,2,4,80,0.2878682951225747,200,,,1,2,0.00044427473863441956,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_46_best_state.pt,"{'learning_rate': 0.00044427473863441956, 'lr_reduce': 0.6}",TPESampler,COMPLETE
47,0.011947453953325748,2025-04-24 21:15:55.708084,2025-04-24 21:17:19.540286,0 days 00:01:23.832202,0.003009041639194937,128,4,2,80,0.04495580850301353,176,2,2,96,0.24672274581416756,96,4,3,64,0.25369972820873027,72,440.0,512.0,3,2,0.0032153901309732876,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_47_best_state.pt,"{'learning_rate': 0.0032153901309732876, 'lr_reduce': 0.6}",TPESampler,COMPLETE
48,0.02771240472793579,2025-04-24 21:16:00.713453,2025-04-24 21:17:34.347626,0 days 00:01:33.634173,0.011017298218102597,64,4,4,32,0.11690672271748603,96,3,4,32,0.1826873691838592,112,3,3,64,0.2809315643903557,336,,,1,2,0.009086685287997718,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_48_best_state.pt,"{'learning_rate': 0.009086685287997718, 'lr_reduce': 0.6}",TPESampler,COMPLETE
49,0.017991608008742332,2025-04-24 21:16:38.059873,2025-04-24 21:19:38.988843,0 days 00:03:00.928970,0.1897433685081105,160,3,2,80,0.03678378772509816,128,2,3,64,0.2541104826428456,80,3,3,96,0.2619370298354309,216,440.0,,2,2,0.001090059891392508,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_49_best_state.pt,"{'learning_rate': 0.001090059891392508, 'lr_reduce': 0.6}",TPESampler,COMPLETE
50,0.013244712725281715,2025-04-24 21:17:19.761492,2025-04-24 21:18:50.733268,0 days 00:01:30.971776,0.012366252041328104,96,3,3,96,0.09349841771754493,64,2,2,48,0.28228834738614783,112,2,2,80,0.21981701980947368,296,,,1,2,0.004873372712240671,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_50_best_state.pt,"{'learning_rate': 0.004873372712240671, 'lr_reduce': 0.6}",TPESampler,COMPLETE
51,0.012388582341372967,2025-04-24 21:17:34.735336,2025-04-24 21:19:06.746088,0 days 00:01:32.010752,0.14050405962701096,256,2,3,64,0.12581945022332702,144,1,2,48,0.17645673912760504,112,3,3,112,0.2335408210090037,112,512.0,160.0,3,2,0.0015844629226561306,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_51_best_state.pt,"{'learning_rate': 0.0015844629226561306, 'lr_reduce': 0.6}",TPESampler,COMPLETE
52,0.01375406514853239,2025-04-24 21:18:50.931095,2025-04-24 21:20:20.156085,0 days 00:01:29.224990,0.04227121173547026,192,4,3,48,0.07204349664117934,240,2,3,80,0.1998066786182789,128,3,3,112,0.20147764772061605,288,376.0,320.0,3,2,0.0025578919070091935,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_52_best_state.pt,"{'learning_rate': 0.0025578919070091935, 'lr_reduce': 0.6}",TPESampler,COMPLETE
53,0.011497181840240955,2025-04-24 21:19:06.898644,2025-04-24 21:20:31.149473,0 days 00:01:24.250829,0.016552943285937545,208,2,2,80,0.1381152405237649,96,4,3,32,0.19093651459380587,96,1,2,96,0.24796597656577135,240,,,1,2,0.0021417764922917726,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_53_best_state.pt,"{'learning_rate': 0.0021417764922917726, 'lr_reduce': 0.6}",TPESampler,COMPLETE
54,0.012346409261226654,2025-04-24 21:19:39.217268,2025-04-24 21:21:24.507504,0 days 00:01:45.290236,0.0029892303307448957,208,4,3,32,0.035205824407595745,80,1,3,64,0.2778185302708528,80,2,4,96,0.2500540376407903,168,376.0,,2,2,0.003139390295157169,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_54_best_state.pt,"{'learning_rate': 0.003139390295157169, 'lr_reduce': 0.6}",TPESampler,COMPLETE
55,1.1285603046417236,2025-04-24 21:20:20.341294,2025-04-24 21:20:50.471773,0 days 00:00:30.130479,0.04961010663468726,144,4,2,80,0.07358491930341925,176,1,2,48,0.2846965741834333,112,3,4,112,0.27880174706419253,232,,,1,2,0.004725883734555707,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_55_best_state.pt,"{'learning_rate': 0.004725883734555707, 'lr_reduce': 0.6}",TPESampler,COMPLETE
56,0.024254053831100464,2025-04-24 21:20:31.296247,2025-04-24 21:22:09.393451,0 days 00:01:38.097204,0.01542348282119467,144,3,3,64,0.24326299986618743,128,4,3,48,0.2677803025334681,128,3,2,32,0.24439344181861566,192,,,1,1,0.007234171629349766,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_56_best_state.pt,"{'learning_rate': 0.007234171629349766, 'lr_reduce': 0.6}",TPESampler,COMPLETE
57,0.011595536023378372,2025-04-24 21:20:50.676940,2025-04-24 21:22:41.864510,0 days 00:01:51.187570,0.07876707084871999,256,4,3,96,0.0597131056135333,224,3,2,48,0.20355791942463303,96,2,4,80,0.285404814605327,40,,,1,2,0.0031738503366268668,0.6,/work3/arnaou/checkpoints/groupgat_Vc_trial_57_best_state.pt,"{'learning_rate': 0.0031738503366268668, 'lr_reduce': 0.6}",TPESampler,COMPLETE
