number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
54,0.6126550445644109,2025-04-24 21:00:49.255752,2025-04-24 21:00:50.043371,0 days 00:00:00.787619,absolute_error,34,sqrt,3,9,best,TPESampler,COMPLETE
55,0.6289323974475082,2025-04-24 21:00:49.587801,2025-04-24 21:00:50.221288,0 days 00:00:00.633487,squared_error,34,sqrt,2,11,best,TPESampler,COMPLETE
56,0.5085288623263258,2025-04-24 21:00:49.990044,2025-04-24 21:00:50.733950,0 days 00:00:00.743906,squared_error,35,sqrt,1,9,best,TPESampler,COMPLETE
57,0.49100091803166096,2025-04-24 21:00:50.380564,2025-04-24 21:00:51.175946,0 days 00:00:00.795382,friedman_mse,32,sqrt,1,8,best,TPESampler,COMPLETE
58,0.5738143807136875,2025-04-24 21:00:50.448764,2025-04-24 21:00:51.271817,0 days 00:00:00.823053,friedman_mse,33,sqrt,1,6,best,TPESampler,COMPLETE
59,0.5339224783480143,2025-04-24 21:00:51.106216,2025-04-24 21:00:51.734237,0 days 00:00:00.628021,squared_error,35,sqrt,1,8,best,TPESampler,COMPLETE
60,0.69351465341836,2025-04-24 21:00:51.424803,2025-04-24 21:00:52.257549,0 days 00:00:00.832746,squared_error,34,sqrt,6,7,best,TPESampler,COMPLETE
61,0.6289323974475082,2025-04-24 21:00:51.523187,2025-04-24 21:00:52.306543,0 days 00:00:00.783356,friedman_mse,30,sqrt,2,12,best,TPESampler,COMPLETE
62,0.7436032276730585,2025-04-24 21:00:51.965235,2025-04-24 21:00:52.771927,0 days 00:00:00.806692,friedman_mse,31,log2,3,9,best,TPESampler,COMPLETE
63,0.8510024615078068,2025-04-24 21:00:52.638146,2025-04-24 21:00:53.471156,0 days 00:00:00.833010,friedman_mse,25,log2,2,4,random,TPESampler,COMPLETE
64,0.5129561010742344,2025-04-24 21:00:52.714520,2025-04-24 21:00:53.609480,0 days 00:00:00.894960,squared_error,33,sqrt,1,7,best,TPESampler,COMPLETE
65,0.8767756438403109,2025-04-24 21:00:53.126504,2025-04-24 21:00:53.825242,0 days 00:00:00.698738,absolute_error,12,sqrt,9,4,random,TPESampler,COMPLETE
66,0.90157797490464,2025-04-24 21:00:53.777532,2025-04-24 21:00:54.450343,0 days 00:00:00.672811,squared_error,3,log2,9,14,best,TPESampler,COMPLETE
