number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
62,0.5157873063065417,2025-04-24 21:00:59.077851,2025-04-24 21:01:00.011681,0 days 00:00:00.933830,squared_error,34,log2,1,5,best,TPESampler,COMPLETE
63,0.9463249836645335,2025-04-24 21:00:59.240129,2025-04-24 21:01:00.178004,0 days 00:00:00.937875,friedman_mse,1,sqrt,10,2,random,TPESampler,COMPLETE
64,0.7975493713728398,2025-04-24 21:00:59.495018,2025-04-24 21:01:00.346813,0 days 00:00:00.851795,squared_error,35,log2,2,7,best,TPESampler,COMPLETE
65,0.922426147955362,2025-04-24 21:01:00.292577,2025-04-24 21:01:01.069032,0 days 00:00:00.776455,squared_error,20,log2,2,11,random,TPESampler,COMPLETE
66,0.4646442062482263,2025-04-24 21:01:00.405445,2025-04-24 21:01:01.242754,0 days 00:00:00.837309,squared_error,35,log2,1,3,best,TPESampler,COMPLETE
67,0.7121735492441255,2025-04-24 21:01:00.590352,2025-04-24 21:01:01.376227,0 days 00:00:00.785875,squared_error,26,log2,1,6,best,TPESampler,COMPLETE
68,0.44898661991792777,2025-04-24 21:01:01.279159,2025-04-24 21:01:02.081049,0 days 00:00:00.801890,squared_error,34,log2,1,6,best,TPESampler,COMPLETE
69,0.5436620092712224,2025-04-24 21:01:01.455466,2025-04-24 21:01:02.218445,0 days 00:00:00.762979,squared_error,35,log2,1,5,best,TPESampler,COMPLETE
70,0.8196822382300737,2025-04-24 21:01:01.553503,2025-04-24 21:01:02.427322,0 days 00:00:00.873819,squared_error,4,log2,1,6,best,TPESampler,COMPLETE
71,0.9494322793442198,2025-04-24 21:01:02.340146,2025-04-24 21:01:03.006745,0 days 00:00:00.666599,friedman_mse,35,log2,9,2,best,TPESampler,COMPLETE
72,0.4948844885027081,2025-04-24 21:01:02.490006,2025-04-24 21:01:03.367968,0 days 00:00:00.877962,friedman_mse,35,log2,1,9,best,TPESampler,COMPLETE
