number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
75,0.27082193253954473,2025-04-24 21:20:57.976382,2025-04-24 21:20:58.548608,0 days 00:00:00.572226,3.05869216385741,0.016697420605078537,0.07906883021351989,rbf,TPESampler,COMPLETE
76,0.7099008839617247,2025-04-24 21:20:58.716037,2025-04-24 21:20:59.205939,0 days 00:00:00.489902,0.39547580523068726,0.189944649313379,0.0012432060085482814,sigmoid,TPESampler,COMPLETE
77,0.7504638916113844,2025-04-24 21:20:59.367443,2025-04-24 21:20:59.925810,0 days 00:00:00.558367,1.5891103000093476,0.010442895558911305,0.008401073972492908,poly,TPESampler,COMPLETE
78,0.8793441046072968,2025-04-24 21:21:00.092572,2025-04-24 21:26:01.258563,0 days 00:05:01.165991,0.5325673421807325,0.06573336651824332,0.3216015915090748,poly,TPESampler,COMPLETE
79,0.4285151350565931,2025-04-24 21:26:01.421403,2025-04-24 21:26:02.051316,0 days 00:00:00.629913,0.34801905614942336,0.01712160615921563,0.06330872202253392,linear,TPESampler,COMPLETE
80,0.9020967106546098,2025-04-24 21:26:02.253357,2025-04-24 21:26:02.760063,0 days 00:00:00.506706,0.016388988403577286,0.006013365538347175,0.001173547418006169,sigmoid,TPESampler,COMPLETE
81,0.2693170619051397,2025-04-24 21:26:02.924847,2025-04-24 21:26:03.536355,0 days 00:00:00.611508,13.62685893412699,0.02084407887629318,0.08610778262060502,rbf,TPESampler,COMPLETE
82,0.2687932113939092,2025-04-24 21:26:03.696775,2025-04-24 21:26:04.275162,0 days 00:00:00.578387,3.406638395118018,0.009914328372921503,0.08445188437379261,rbf,TPESampler,COMPLETE
83,0.2729789769632381,2025-04-24 21:26:04.454754,2025-04-24 21:26:05.030189,0 days 00:00:00.575435,7.322782759009953,0.01438260114575898,0.03935795712660005,rbf,TPESampler,COMPLETE
84,0.8929243753671866,2025-04-24 21:26:05.199959,2025-04-24 21:26:05.732821,0 days 00:00:00.532862,0.03429473178255524,0.19321593013881186,0.0003361146159559527,rbf,TPESampler,COMPLETE
85,0.3129300246302545,2025-04-24 21:26:05.895825,2025-04-24 21:26:06.519026,0 days 00:00:00.623201,10.37538064241844,0.012925212678475935,0.22775794954396164,rbf,TPESampler,COMPLETE
86,0.2708919667621693,2025-04-24 21:26:06.706418,2025-04-24 21:26:07.258734,0 days 00:00:00.552316,2.6937228771418082,0.011302462998867956,0.10017741489214724,rbf,TPESampler,COMPLETE
87,0.30987571917974926,2025-04-24 21:26:07.427390,2025-04-24 21:26:08.021795,0 days 00:00:00.594405,4.5805056434338836,0.04447690637395532,0.2371069884430411,rbf,TPESampler,COMPLETE
88,0.2719546066137642,2025-04-24 21:26:08.189563,2025-04-24 21:26:08.876796,0 days 00:00:00.687233,12.685969084043862,0.009780392494562902,0.09565388019608685,rbf,TPESampler,COMPLETE
89,0.8370168853847708,2025-04-24 21:26:09.042669,2025-04-24 21:26:09.841034,0 days 00:00:00.798365,0.004566907485956897,0.03984477680324113,0.015164506966719195,rbf,TPESampler,COMPLETE
90,0.6495689448247868,2025-04-24 21:26:10.007664,2025-04-24 21:26:10.510593,0 days 00:00:00.502929,0.0012322330388707273,0.0045802623331232025,0.006778844032259563,linear,TPESampler,COMPLETE
91,0.7854336118815256,2025-04-24 21:26:10.693663,2025-04-24 21:26:11.156288,0 days 00:00:00.462625,0.0012140190369067068,0.804479436461413,0.006391272733046787,linear,TPESampler,COMPLETE
92,0.4976760954368708,2025-04-24 21:26:11.326986,2025-04-24 21:26:12.936867,0 days 00:00:01.609881,3.8900119651042315,0.025160573201185293,0.11299255788234976,linear,TPESampler,COMPLETE
93,0.34158348439407277,2025-04-24 21:26:13.103056,2025-04-24 21:26:13.618502,0 days 00:00:00.515446,2.317352714351827,0.025728776517292946,0.015602735102327155,rbf,TPESampler,COMPLETE
94,0.2773458695954417,2025-04-24 21:26:13.784754,2025-04-24 21:26:14.424306,0 days 00:00:00.639552,28.7744543879031,0.02307323820787183,0.08041893598762254,rbf,TPESampler,COMPLETE
95,0.26308953217152986,2025-04-24 21:26:14.584372,2025-04-24 21:26:15.169985,0 days 00:00:00.585613,5.225482045858339,0.03988105662036854,0.06715592273901477,rbf,TPESampler,COMPLETE
96,0.9043764960907674,2025-04-24 21:26:15.409422,2025-04-24 21:26:15.880829,0 days 00:00:00.471407,0.009080886311229728,0.66618470384051,0.04547503122106047,sigmoid,TPESampler,COMPLETE
97,0.27005717704408305,2025-04-24 21:26:16.037984,2025-04-24 21:26:16.556286,0 days 00:00:00.518302,3.72786612096258,0.043303218993379515,0.11294808860787733,rbf,TPESampler,COMPLETE
98,0.5810935642307986,2025-04-24 21:26:16.722037,2025-04-24 21:26:17.273655,0 days 00:00:00.551618,3.2259870517288314,0.021636498643511498,0.9926373945805533,rbf,TPESampler,COMPLETE
99,0.45777445366253505,2025-04-24 21:26:17.434071,2025-04-24 21:26:18.332500,0 days 00:00:00.898429,0.8444282333030456,0.003712539295277287,0.0008775504024930331,linear,TPESampler,COMPLETE
100,0.2755249653977935,2025-04-24 21:26:18.502961,2025-04-24 21:26:19.113695,0 days 00:00:00.610734,9.044457021166673,0.005852722719448477,0.03778655434974531,rbf,TPESampler,COMPLETE
101,0.4080803964821412,2025-04-24 21:26:19.394833,2025-04-24 21:26:19.891679,0 days 00:00:00.496846,0.18419469921233203,0.03782740535589264,0.06372520630303936,rbf,TPESampler,COMPLETE
102,0.9705543117311254,2025-04-24 21:26:20.062674,2025-04-24 21:47:12.294681,0 days 00:20:52.232007,12.713258795750438,0.008146849423816204,0.1234639888736849,poly,TPESampler,COMPLETE
