number,value,datetime_start,datetime_complete,duration,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_splitter,system_attrs_auto:sampler,state
73,0.61003860929192,2025-04-24 21:00:48.476717,2025-04-24 21:00:49.231590,0 days 00:00:00.754873,squared_error,33,sqrt,1,11,random,TPESampler,COMPLETE
74,0.6598090476337168,2025-04-24 21:00:48.812668,2025-04-24 21:00:49.556049,0 days 00:00:00.743381,absolute_error,34,sqrt,2,18,random,TPESampler,COMPLETE
75,0.7238353318092209,2025-04-24 21:00:49.175556,2025-04-24 21:00:49.884092,0 days 00:00:00.708536,absolute_error,27,sqrt,6,12,best,TPESampler,COMPLETE
76,0.5868961265114919,2025-04-24 21:00:49.452418,2025-04-24 21:00:50.214615,0 days 00:00:00.762197,friedman_mse,35,sqrt,1,8,random,TPESampler,COMPLETE
77,0.9737936641952643,2025-04-24 21:00:49.775212,2025-04-24 21:00:50.478935,0 days 00:00:00.703723,squared_error,12,sqrt,10,16,random,TPESampler,COMPLETE
78,0.5910861426343554,2025-04-24 21:00:50.100246,2025-04-24 21:00:50.828618,0 days 00:00:00.728372,friedman_mse,35,sqrt,1,6,random,TPESampler,COMPLETE
79,0.7135231976865668,2025-04-24 21:00:50.468423,2025-04-24 21:00:51.134098,0 days 00:00:00.665675,friedman_mse,34,sqrt,3,10,random,TPESampler,COMPLETE
80,0.6146447020156406,2025-04-24 21:00:50.706000,2025-04-24 21:00:51.575204,0 days 00:00:00.869204,friedman_mse,30,sqrt,1,4,random,TPESampler,COMPLETE
81,0.9962502283466568,2025-04-24 21:00:51.062067,2025-04-24 21:00:51.813878,0 days 00:00:00.751811,friedman_mse,34,log2,5,6,random,TPESampler,COMPLETE
82,0.6007924014186778,2025-04-24 21:00:51.390082,2025-04-24 21:00:52.217876,0 days 00:00:00.827794,friedman_mse,32,sqrt,1,9,random,TPESampler,COMPLETE
83,0.9928365741172522,2025-04-24 21:00:51.807390,2025-04-24 21:00:52.521526,0 days 00:00:00.714136,friedman_mse,34,log2,10,12,best,TPESampler,COMPLETE
84,0.5691234829311607,2025-04-24 21:00:52.063215,2025-04-24 21:00:52.799937,0 days 00:00:00.736722,friedman_mse,34,sqrt,1,7,random,TPESampler,COMPLETE
85,0.6029395236055548,2025-04-24 21:00:52.457551,2025-04-24 21:00:53.187813,0 days 00:00:00.730262,friedman_mse,33,sqrt,1,9,random,TPESampler,COMPLETE
86,0.689760431628426,2025-04-24 21:00:52.751487,2025-04-24 21:00:53.483895,0 days 00:00:00.732408,friedman_mse,35,sqrt,3,3,random,TPESampler,COMPLETE
87,0.6098714731524191,2025-04-24 21:00:53.085773,2025-04-24 21:00:53.919791,0 days 00:00:00.834018,friedman_mse,34,sqrt,1,5,random,TPESampler,COMPLETE
88,0.6353895806520753,2025-04-24 21:00:53.436766,2025-04-24 21:00:54.191402,0 days 00:00:00.754636,friedman_mse,31,sqrt,1,13,random,TPESampler,COMPLETE
89,0.6014217053928542,2025-04-24 21:00:53.804852,2025-04-24 21:00:54.549531,0 days 00:00:00.744679,squared_error,35,sqrt,1,14,random,TPESampler,COMPLETE
90,0.9749715991626106,2025-04-24 21:00:54.181538,2025-04-24 21:00:54.881605,0 days 00:00:00.700067,friedman_mse,35,log2,2,9,random,TPESampler,COMPLETE
91,0.90376982927729,2025-04-24 21:00:54.426994,2025-04-24 21:00:55.207479,0 days 00:00:00.780485,absolute_error,34,sqrt,5,7,random,TPESampler,COMPLETE
92,0.9281544931504808,2025-04-24 21:00:54.771796,2025-04-24 21:00:55.446878,0 days 00:00:00.675082,friedman_mse,30,log2,1,3,random,TPESampler,COMPLETE
93,0.5821890428713193,2025-04-24 21:00:55.104250,2025-04-24 21:00:55.786165,0 days 00:00:00.681915,friedman_mse,34,sqrt,1,8,random,TPESampler,COMPLETE
94,0.5991101576395818,2025-04-24 21:00:55.407978,2025-04-24 21:00:56.175730,0 days 00:00:00.767752,friedman_mse,34,sqrt,1,11,random,TPESampler,COMPLETE
95,0.7669212232792286,2025-04-24 21:00:55.743523,2025-04-24 21:00:56.473387,0 days 00:00:00.729864,friedman_mse,11,sqrt,5,13,best,TPESampler,COMPLETE
96,0.6584093215051056,2025-04-24 21:00:56.062055,2025-04-24 21:00:56.805855,0 days 00:00:00.743800,friedman_mse,35,sqrt,2,10,random,TPESampler,COMPLETE
97,0.7389997290168945,2025-04-24 21:00:56.411400,2025-04-24 21:00:57.216922,0 days 00:00:00.805522,absolute_error,7,sqrt,8,18,best,TPESampler,COMPLETE
98,0.7895823578654255,2025-04-24 21:00:56.690061,2025-04-24 21:00:57.569113,0 days 00:00:00.879052,friedman_mse,7,sqrt,10,4,best,TPESampler,COMPLETE
99,0.9962502283466568,2025-04-24 21:00:57.089373,2025-04-24 21:00:57.791115,0 days 00:00:00.701742,squared_error,11,log2,7,2,random,TPESampler,COMPLETE
100,0.9715123193587423,2025-04-24 21:00:57.474954,2025-04-24 21:00:58.210509,0 days 00:00:00.735555,absolute_error,3,log2,1,10,best,TPESampler,COMPLETE
101,0.6297518692625522,2025-04-24 21:00:57.802408,2025-04-24 21:00:58.579845,0 days 00:00:00.777437,absolute_error,26,sqrt,1,4,random,TPESampler,COMPLETE
102,0.9737936641952643,2025-04-24 21:00:58.113159,2025-04-24 21:00:58.873556,0 days 00:00:00.760397,squared_error,34,sqrt,8,2,random,TPESampler,COMPLETE
103,0.5845401005072158,2025-04-24 21:00:58.469259,2025-04-24 21:00:59.164646,0 days 00:00:00.695387,friedman_mse,33,sqrt,1,7,random,TPESampler,COMPLETE
104,0.6080739943014954,2025-04-24 21:00:58.812969,2025-04-24 21:00:59.489683,0 days 00:00:00.676714,friedman_mse,35,sqrt,1,10,random,TPESampler,COMPLETE
105,0.5735536095371757,2025-04-24 21:00:59.116989,2025-04-24 21:00:59.781931,0 days 00:00:00.664942,friedman_mse,35,sqrt,1,5,random,TPESampler,COMPLETE
106,0.693270508850544,2025-04-24 21:00:59.373155,2025-04-24 21:01:00.219731,0 days 00:00:00.846576,absolute_error,35,sqrt,1,19,best,TPESampler,COMPLETE
107,0.6438247230552657,2025-04-24 21:00:59.698065,2025-04-24 21:01:00.575602,0 days 00:00:00.877537,friedman_mse,35,sqrt,2,6,random,TPESampler,COMPLETE
108,0.6554608043408595,2025-04-24 21:01:00.139143,2025-04-24 21:01:00.889389,0 days 00:00:00.750246,friedman_mse,26,sqrt,1,7,random,TPESampler,COMPLETE
109,0.8873925072545136,2025-04-24 21:01:00.480294,2025-04-24 21:01:01.168457,0 days 00:00:00.688163,squared_error,35,log2,1,10,random,TPESampler,COMPLETE
