number,value,datetime_start,datetime_complete,duration,params_constant_value,params_kernel_type,params_length_scale,params_noise_level,params_nu,system_attrs_auto:sampler,state
45,0.9329374966761665,2025-04-24 20:59:01.651369,2025-04-24 20:59:07.001802,0 days 00:00:05.350433,12.851863992484864,Matern,656.6317491542603,4.966641723760384e-07,1.5,TPESampler,COMPLETE
46,0.9329374979100209,2025-04-24 20:59:05.507698,2025-04-24 20:59:08.933776,0 days 00:00:03.426078,140.61864434015462,Matern,49103.19408534725,0.0009259003716299091,0.5,TPESampler,COMPLETE
47,0.93293749808277,2025-04-24 20:59:07.205983,2025-04-24 20:59:12.916496,0 days 00:00:05.710513,1.447211712673899e-07,RBF,0.012721757546525382,1.0211157728932708e-05,2.5,TPESampler,COMPLETE
48,0.9928365738766001,2025-04-24 20:59:08.297528,2025-04-24 20:59:13.566914,0 days 00:00:05.269386,0.04719237044395653,RBF,4697.898580763493,0.14364904443022283,0.5,TPESampler,COMPLETE
49,0.9329374989770757,2025-04-24 20:59:09.140575,2025-04-24 20:59:25.852849,0 days 00:00:16.712274,3.068300538267804e-06,RBF,4.727916467442318,1.227382938036332e-06,0.5,TPESampler,COMPLETE
50,0.9329374977419446,2025-04-24 20:59:13.124994,2025-04-24 20:59:29.970140,0 days 00:00:16.845146,1.6114472391406928e-05,Matern,0.013975692665581857,2.435131652215026e-07,0.5,TPESampler,COMPLETE
51,0.9329374965527105,2025-04-24 20:59:13.962185,2025-04-24 20:59:31.584547,0 days 00:00:17.622362,6.329025386234226e-07,Matern,0.012267809298640752,4.965569628920313e-06,0.5,TPESampler,COMPLETE
52,0.9329374965527105,2025-04-24 20:59:26.720458,2025-04-24 20:59:38.776651,0 days 00:00:12.056193,2.2839588093995294e-06,Matern,0.013322578136762036,1.34733226981322e-06,2.5,TPESampler,COMPLETE
53,0.9329359806513611,2025-04-24 20:59:30.661274,2025-04-24 20:59:41.176460,0 days 00:00:10.515186,9.1535242256737e-07,Matern,0.07604731566653461,0.0039784773221575274,0.5,TPESampler,COMPLETE
54,0.9928350583864083,2025-04-24 20:59:31.892216,2025-04-24 20:59:36.980621,0 days 00:00:05.088405,16287.297465695652,RBF,0.0007174246032674333,5.685055360477129e-09,0.5,TPESampler,COMPLETE
