number,value,datetime_start,datetime_complete,duration,params_L1_dropout,params_L1_hidden_dim,params_L1_layers_atom,params_L1_layers_mol,params_L1_out_dim,params_L2_dropout,params_L2_hidden_dim,params_L2_layers_atom,params_L2_layers_mol,params_L2_out_dim,params_L3_dropout,params_L3_hidden_dim,params_L3_layers_atom,params_L3_layers_mol,params_L3_out_dim,params_final_dropout,params_mlp_dim_0,params_mlp_dim_1,params_mlp_dim_2,params_n_mlp_layers,params_num_heads,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
22,0.02321786992251873,2025-04-25 13:37:08.184284,2025-04-25 13:39:39.705857,0 days 00:02:31.521573,0.22257204588946192,192,1,3,32,0.05599602771687401,208,2,4,112,0.22190580150842068,64,3,1,64,0.29974623763255465,128,216.0,56.0,3,2,0.0004169077221777844,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_22_best_state.pt,"{'learning_rate': 0.0004169077221777844, 'lr_reduce': 0.6}",TPESampler,COMPLETE
23,0.019839361310005188,2025-04-25 13:37:14.886222,2025-04-25 13:40:07.959827,0 days 00:02:53.073605,0.1436950218643167,192,1,2,64,0.020328299047081923,160,3,2,48,0.2489712865067193,80,3,2,112,0.05183652732356982,344,64.0,,2,1,0.005039869770582694,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_23_best_state.pt,"{'learning_rate': 0.005039869770582694, 'lr_reduce': 0.6}",TPESampler,COMPLETE
24,0.026560252532362938,2025-04-25 13:38:59.701694,2025-04-25 13:40:46.020171,0 days 00:01:46.318477,0.10431725671426774,144,1,2,48,0.07966801560457576,64,4,1,64,0.22740053147473271,112,3,1,112,0.07817200908057652,376,,,1,1,0.0035436436278088474,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_24_best_state.pt,"{'learning_rate': 0.0035436436278088474, 'lr_reduce': 0.6}",TPESampler,COMPLETE
25,0.021999431774020195,2025-04-25 13:39:39.878824,2025-04-25 13:41:07.551437,0 days 00:01:27.672613,0.06664486783357505,160,1,1,112,0.03834695749517558,96,2,2,96,0.19377664044981224,128,3,1,128,0.09809266717571788,280,64.0,,2,1,0.0029713593202190863,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_25_best_state.pt,"{'learning_rate': 0.0029713593202190863, 'lr_reduce': 0.6}",TPESampler,COMPLETE
26,0.02188185788691044,2025-04-25 13:40:08.104447,2025-04-25 13:41:50.316618,0 days 00:01:42.212171,0.18527189550583262,192,2,2,48,0.00435967825092104,192,3,2,64,0.25915930598247194,96,3,2,112,0.04891982712245436,440,32.0,,2,1,0.0015105179432582552,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_26_best_state.pt,"{'learning_rate': 0.0015105179432582552, 'lr_reduce': 0.6}",TPESampler,COMPLETE
27,0.025778507813811302,2025-04-25 13:40:46.209401,2025-04-25 13:42:30.300729,0 days 00:01:44.091328,0.002070160688818795,192,1,3,80,0.05917477440356878,80,2,3,64,0.11507431368142927,80,4,2,112,0.0215337445543991,216,40.0,,2,1,0.009830712095452068,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_27_best_state.pt,"{'learning_rate': 0.009830712095452068, 'lr_reduce': 0.6}",TPESampler,COMPLETE
28,0.024642551317811012,2025-04-25 13:41:07.705885,2025-04-25 13:43:14.109718,0 days 00:02:06.403833,0.04706234502090147,160,1,2,48,0.0006028676942529745,64,3,2,80,0.24993064517339184,112,3,2,112,0.03746184824116144,256,152.0,504.0,3,1,0.0011535714411395504,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_28_best_state.pt,"{'learning_rate': 0.0011535714411395504, 'lr_reduce': 0.6}",TPESampler,COMPLETE
29,0.02334107831120491,2025-04-25 13:41:50.506051,2025-04-25 13:43:38.767883,0 days 00:01:48.261832,0.034370000247423385,224,1,2,112,0.0409803962349779,80,3,2,80,0.25482720323964386,80,2,3,128,0.019451572063511703,320,,,1,1,0.005879518127926648,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_29_best_state.pt,"{'learning_rate': 0.005879518127926648, 'lr_reduce': 0.6}",TPESampler,COMPLETE
30,0.02957582101225853,2025-04-25 13:42:30.531139,2025-04-25 13:44:05.756841,0 days 00:01:35.225702,0.2957860140237618,160,1,4,32,0.06570436019023063,112,3,3,112,0.1028503621998518,64,4,1,32,0.2741131891214652,128,,,1,2,0.003398101048780486,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_30_best_state.pt,"{'learning_rate': 0.003398101048780486, 'lr_reduce': 0.6}",TPESampler,COMPLETE
31,0.026517974212765694,2025-04-25 13:43:14.351154,2025-04-25 13:46:35.578566,0 days 00:03:21.227412,0.25562433477229074,144,2,4,32,0.06410103533101623,160,3,4,96,0.15632468753874026,32,4,1,48,0.2892670683104126,48,32.0,,2,2,0.00031363928800508847,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_31_best_state.pt,"{'learning_rate': 0.00031363928800508847, 'lr_reduce': 0.6}",TPESampler,COMPLETE
32,0.08695313334465027,2025-04-25 13:43:39.322015,2025-04-25 13:44:19.652370,0 days 00:00:40.330355,0.1518989873215457,176,1,3,112,0.07868163236928696,64,3,2,64,0.25831012305749834,80,4,1,128,0.05658226795327503,496,32.0,200.0,3,2,0.003921221400127952,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_32_best_state.pt,"{'learning_rate': 0.003921221400127952, 'lr_reduce': 0.6}",TPESampler,COMPLETE
33,0.02956615760922432,2025-04-25 13:44:05.969928,2025-04-25 13:45:48.235305,0 days 00:01:42.265377,0.2547031461829562,224,2,3,32,0.02019988301581025,240,3,2,48,0.2909768353530918,112,3,3,96,0.04086186349646798,392,,,1,1,0.0020950462497962715,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_33_best_state.pt,"{'learning_rate': 0.0020950462497962715, 'lr_reduce': 0.6}",TPESampler,COMPLETE
34,0.021689848974347115,2025-04-25 13:44:19.941010,2025-04-25 13:46:53.081770,0 days 00:02:33.140760,0.12339205169601447,208,1,1,48,0.052098980133743186,176,4,3,80,0.23055834431138136,80,4,1,128,0.1143771037550127,312,32.0,,2,1,0.0029614887304875207,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_34_best_state.pt,"{'learning_rate': 0.0029614887304875207, 'lr_reduce': 0.6}",TPESampler,COMPLETE
35,0.020947782322764397,2025-04-25 13:45:48.658371,2025-04-25 13:47:21.487472,0 days 00:01:32.829101,0.23778737537353573,240,2,2,48,0.016208325796699778,224,2,2,80,0.24995982169740733,64,2,2,112,0.056854092050927264,504,32.0,168.0,3,1,0.0013724595157822155,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_35_best_state.pt,"{'learning_rate': 0.0013724595157822155, 'lr_reduce': 0.6}",TPESampler,COMPLETE
36,0.020354345440864563,2025-04-25 13:46:35.785819,2025-04-25 13:48:55.385971,0 days 00:02:19.600152,0.06849458780668034,144,1,1,32,0.02256258289780409,240,4,1,64,0.22060082874275525,96,3,2,80,0.04464371775549362,448,112.0,432.0,3,1,0.0022327892030113683,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_36_best_state.pt,"{'learning_rate': 0.0022327892030113683, 'lr_reduce': 0.6}",TPESampler,COMPLETE
37,0.017551466822624207,2025-04-25 13:46:53.258816,2025-04-25 13:48:13.053891,0 days 00:01:19.795075,0.12414245666838701,208,1,1,48,0.15697279780065287,192,3,3,80,0.19665514938706757,64,4,1,128,0.034315772690565294,144,32.0,,2,1,0.0017468537560206283,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_37_best_state.pt,"{'learning_rate': 0.0017468537560206283, 'lr_reduce': 0.6}",TPESampler,COMPLETE
38,0.02816687524318695,2025-04-25 13:47:21.650306,2025-04-25 13:49:24.121098,0 days 00:02:02.470792,0.1961282376227769,224,2,2,80,0.04881687508803299,208,1,2,80,0.20052043986434415,48,2,3,96,0.0014912558575806492,504,32.0,168.0,3,2,0.003835681249711502,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_38_best_state.pt,"{'learning_rate': 0.003835681249711502, 'lr_reduce': 0.6}",TPESampler,COMPLETE
39,0.030254818499088287,2025-04-25 13:48:13.233703,2025-04-25 13:50:08.524240,0 days 00:01:55.290537,0.16232991374547645,160,2,2,64,0.16808281816438753,192,3,2,64,0.26108571944730796,64,4,1,128,0.003257183753351295,56,32.0,48.0,3,1,0.0008124646123931972,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_39_best_state.pt,"{'learning_rate': 0.0008124646123931972, 'lr_reduce': 0.6}",TPESampler,COMPLETE
40,0.024564135819673538,2025-04-25 13:48:55.586854,2025-04-25 13:50:40.932087,0 days 00:01:45.345233,0.1264366159166099,80,2,1,48,0.10461041876059705,208,4,1,80,0.23582928496485522,96,2,2,80,0.0760997199175214,488,144.0,432.0,3,1,0.002322261120544204,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_40_best_state.pt,"{'learning_rate': 0.002322261120544204, 'lr_reduce': 0.6}",TPESampler,COMPLETE
41,0.019855793565511703,2025-04-25 13:49:24.338165,2025-04-25 13:51:11.095376,0 days 00:01:46.757211,0.0020281009835354386,144,1,1,32,0.04787922537025002,256,4,2,64,0.2552415037473029,80,3,1,80,0.0985092457927674,432,136.0,496.0,3,1,0.002041988875567664,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_41_best_state.pt,"{'learning_rate': 0.002041988875567664, 'lr_reduce': 0.6}",TPESampler,COMPLETE
42,0.021644532680511475,2025-04-25 13:50:08.701663,2025-04-25 13:52:40.955333,0 days 00:02:32.253670,0.081213074359932,176,2,2,32,0.1822356015086462,192,3,4,96,0.10754480963893542,64,3,1,128,0.031336696666550895,240,136.0,,2,1,0.0025525517491158225,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_42_best_state.pt,"{'learning_rate': 0.0025525517491158225, 'lr_reduce': 0.6}",TPESampler,COMPLETE
43,0.03502485901117325,2025-04-25 13:50:41.190612,2025-04-25 13:52:48.431831,0 days 00:02:07.241219,0.12811212300807553,160,1,1,32,0.08382491106408145,224,3,3,80,0.1866474952882755,48,4,1,112,0.06355524218231502,48,,,1,1,0.00014497038102713133,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_43_best_state.pt,"{'learning_rate': 0.00014497038102713133, 'lr_reduce': 0.6}",TPESampler,COMPLETE
44,0.025344118475914,2025-04-25 13:51:11.285442,2025-04-25 13:53:12.901106,0 days 00:02:01.615664,0.04356075261703806,128,1,1,32,0.00521149390476687,240,4,2,64,0.2748501149052307,96,3,1,64,0.1385107402777757,496,136.0,496.0,3,1,0.0001679419038719139,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_44_best_state.pt,"{'learning_rate': 0.0001679419038719139, 'lr_reduce': 0.6}",TPESampler,COMPLETE
45,0.028199177235364914,2025-04-25 13:52:41.130576,2025-04-25 13:54:19.905336,0 days 00:01:38.774760,0.03635270694502556,160,1,1,32,0.09356499158342456,224,3,2,64,0.23762395227115457,112,4,3,64,0.09682074388794726,488,128.0,,2,2,0.004722144499015102,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_45_best_state.pt,"{'learning_rate': 0.004722144499015102, 'lr_reduce': 0.6}",TPESampler,COMPLETE
46,0.023777153342962265,2025-04-25 13:52:49.007757,2025-04-25 13:54:59.991514,0 days 00:02:10.983757,0.04686806511223572,160,2,1,32,0.020914453253830442,256,4,1,80,0.25626646141621956,112,3,1,80,0.004325979157528616,376,,,1,1,0.002305226457732601,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_46_best_state.pt,"{'learning_rate': 0.002305226457732601, 'lr_reduce': 0.6}",TPESampler,COMPLETE
47,0.02901320718228817,2025-04-25 13:53:13.079992,2025-04-25 13:55:29.431539,0 days 00:02:16.351547,0.04711922880279623,128,3,1,48,0.04588822027158389,256,4,3,48,0.2537687148054925,96,3,1,80,0.08997233067413309,408,120.0,392.0,3,1,0.004536949397334132,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_47_best_state.pt,"{'learning_rate': 0.004536949397334132, 'lr_reduce': 0.6}",TPESampler,COMPLETE
48,0.052974484860897064,2025-04-25 13:54:20.193521,2025-04-25 13:55:59.290626,0 days 00:01:39.097105,0.16360617435728292,240,1,2,64,0.04730344003486846,96,3,3,48,0.23362881852208256,64,3,2,64,0.10124247319769306,352,112.0,,2,1,0.009463266820471522,0.6,/work3/arnaou/checkpoints/groupgat_Tc_trial_48_best_state.pt,"{'learning_rate': 0.009463266820471522, 'lr_reduce': 0.6}",TPESampler,COMPLETE
