number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
408,0.046593211591243744,2025-04-25 22:23:59.418951,2025-04-25 22:24:07.250851,0 days 00:00:07.831900,0.02311001686839689,176,304,,,2,0.004131770242830543,0.6,checkpoints/mlp_Tc_trial_408_best_state.pt,"{'learning_rate': 0.004131770242830543, 'lr_reduce': 0.6}",TPESampler,COMPLETE
409,0.049484290182590485,2025-04-25 22:24:04.961423,2025-04-25 22:24:20.130528,0 days 00:00:15.169105,0.024035230173800843,240,304,,,2,0.00449076749996079,0.6,checkpoints/mlp_Tc_trial_409_best_state.pt,"{'learning_rate': 0.00449076749996079, 'lr_reduce': 0.6}",TPESampler,COMPLETE
410,0.04119263216853142,2025-04-25 22:24:07.506093,2025-04-25 22:24:15.878279,0 days 00:00:08.372186,0.02807978849837512,192,240,,,2,0.006683562873420803,0.6,checkpoints/mlp_Tc_trial_410_best_state.pt,"{'learning_rate': 0.006683562873420803, 'lr_reduce': 0.6}",TPESampler,COMPLETE
411,0.04717400297522545,2025-04-25 22:24:16.133730,2025-04-25 22:24:25.139983,0 days 00:00:09.006253,0.00010985560409558504,160,112,,,2,0.006547331929696541,0.6,checkpoints/mlp_Tc_trial_411_best_state.pt,"{'learning_rate': 0.006547331929696541, 'lr_reduce': 0.6}",TPESampler,COMPLETE
412,0.054279495030641556,2025-04-25 22:24:18.532583,2025-04-25 22:24:27.363805,0 days 00:00:08.831222,0.018308415860176393,192,288,,,2,0.009987053970708547,0.6,checkpoints/mlp_Tc_trial_412_best_state.pt,"{'learning_rate': 0.009987053970708547, 'lr_reduce': 0.6}",TPESampler,COMPLETE
413,0.04820971190929413,2025-04-25 22:24:20.393128,2025-04-25 22:24:27.441206,0 days 00:00:07.048078,0.035474947931510806,128,208,,,2,0.004622050297794466,0.6,checkpoints/mlp_Tc_trial_413_best_state.pt,"{'learning_rate': 0.004622050297794466, 'lr_reduce': 0.6}",TPESampler,COMPLETE
414,0.040913794189691544,2025-04-25 22:24:25.373846,2025-04-25 22:24:33.376998,0 days 00:00:08.003152,0.03231310872395514,208,208,,,2,0.006227215823589903,0.6,checkpoints/mlp_Tc_trial_414_best_state.pt,"{'learning_rate': 0.006227215823589903, 'lr_reduce': 0.6}",TPESampler,COMPLETE
415,0.04385913163423538,2025-04-25 22:24:27.578231,2025-04-25 22:24:39.968931,0 days 00:00:12.390700,0.0024345925393611835,176,240,,,2,0.0026885513951460877,0.6,checkpoints/mlp_Tc_trial_415_best_state.pt,"{'learning_rate': 0.0026885513951460877, 'lr_reduce': 0.6}",TPESampler,COMPLETE
416,0.050881434231996536,2025-04-25 22:24:27.638819,2025-04-25 22:24:44.757074,0 days 00:00:17.118255,0.001532729072647714,256,336,,,2,0.004456571846901355,0.6,checkpoints/mlp_Tc_trial_416_best_state.pt,"{'learning_rate': 0.004456571846901355, 'lr_reduce': 0.6}",TPESampler,COMPLETE
417,0.05575953796505928,2025-04-25 22:24:33.826269,2025-04-25 22:24:42.051993,0 days 00:00:08.225724,0.058521083526702496,112,192,,,2,0.007505592650675733,0.6,checkpoints/mlp_Tc_trial_417_best_state.pt,"{'learning_rate': 0.007505592650675733, 'lr_reduce': 0.6}",TPESampler,COMPLETE
