number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
662,0.12659354507923126,2025-04-25 22:45:30.891239,2025-04-25 22:45:58.793685,0 days 00:00:27.902446,1,99,70,233.0,115.0,,3,65,0.03866812138917874,0.0023255840737967212,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_662_best_state.pt,"{'learning_rate': 0.0023255840737967212, 'lr_reduce': 0.6}",TPESampler,COMPLETE
663,0.8979914784431458,2025-04-25 22:45:31.834222,2025-04-25 22:45:36.244999,0 days 00:00:04.410777,4,46,398,178.0,64.0,398.0,4,122,0.07433483934698683,0.000747837402672621,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_663_best_state.pt,"{'learning_rate': 0.000747837402672621, 'lr_reduce': 0.6}",TPESampler,COMPLETE
664,0.1618274599313736,2025-04-25 22:45:36.450911,2025-04-25 22:46:08.996268,0 days 00:00:32.545357,1,75,485,246.0,,,2,100,0.24302343654955305,0.002464962526607399,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_664_best_state.pt,"{'learning_rate': 0.002464962526607399, 'lr_reduce': 0.6}",TPESampler,COMPLETE
665,0.8939999341964722,2025-04-25 22:45:44.416955,2025-04-25 22:45:49.450784,0 days 00:00:05.033829,3,122,165,172.0,65.0,,3,71,0.18531526011585644,0.0012143817314146487,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_665_best_state.pt,"{'learning_rate': 0.0012143817314146487, 'lr_reduce': 0.6}",TPESampler,COMPLETE
666,0.11143893748521805,2025-04-25 22:45:49.689071,2025-04-25 22:46:15.993192,0 days 00:00:26.304121,1,107,298,,,,1,119,0.1987386655663378,0.002162637735103801,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_666_best_state.pt,"{'learning_rate': 0.002162637735103801, 'lr_reduce': 0.6}",TPESampler,COMPLETE
667,0.16947856545448303,2025-04-25 22:45:59.056789,2025-04-25 22:46:39.353590,0 days 00:00:40.296801,2,85,318,168.0,130.0,456.0,4,98,0.17019006856385868,0.001772746184304823,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_667_best_state.pt,"{'learning_rate': 0.001772746184304823, 'lr_reduce': 0.6}",TPESampler,COMPLETE
668,0.16418558359146118,2025-04-25 22:46:09.296212,2025-04-25 22:46:46.997837,0 days 00:00:37.701625,2,99,442,173.0,108.0,374.0,4,50,0.007428342897268292,0.002640696340824273,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_668_best_state.pt,"{'learning_rate': 0.002640696340824273, 'lr_reduce': 0.6}",TPESampler,COMPLETE
669,0.21350371837615967,2025-04-25 22:46:16.212086,2025-04-25 22:46:29.294227,0 days 00:00:13.082141,1,48,510,208.0,,,2,120,0.1942846561844345,0.0038476225649507895,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_669_best_state.pt,"{'learning_rate': 0.0038476225649507895, 'lr_reduce': 0.6}",TPESampler,COMPLETE
670,0.10868958383798599,2025-04-25 22:46:29.574313,2025-04-25 22:47:06.457331,0 days 00:00:36.883018,1,83,131,255.0,,,2,97,0.1912634306540006,0.004806535383327723,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_670_best_state.pt,"{'learning_rate': 0.004806535383327723, 'lr_reduce': 0.6}",TPESampler,COMPLETE
671,0.14072224497795105,2025-04-25 22:46:39.612858,2025-04-25 22:47:14.121675,0 days 00:00:34.508817,1,63,483,409.0,108.0,,3,80,0.22125629274843966,0.0020677287492953406,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_671_best_state.pt,"{'learning_rate': 0.0020677287492953406, 'lr_reduce': 0.6}",TPESampler,COMPLETE
672,0.15634785592556,2025-04-25 22:46:47.241709,2025-04-25 22:47:04.137438,0 days 00:00:16.895729,1,99,499,152.0,,,2,76,0.22887113458037606,0.005068244826591135,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_672_best_state.pt,"{'learning_rate': 0.005068244826591135, 'lr_reduce': 0.6}",TPESampler,COMPLETE
673,0.899796187877655,2025-04-25 22:47:04.364828,2025-04-25 22:47:08.876128,0 days 00:00:04.511300,1,91,367,144.0,116.0,510.0,4,103,0.17375171771301173,0.00036062929567220623,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_673_best_state.pt,"{'learning_rate': 0.00036062929567220623, 'lr_reduce': 0.6}",TPESampler,COMPLETE
674,0.12775182723999023,2025-04-25 22:47:06.677623,2025-04-25 22:47:25.405562,0 days 00:00:18.727939,1,87,152,,,,1,96,0.18985316700365623,0.001197930909387177,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_674_best_state.pt,"{'learning_rate': 0.001197930909387177, 'lr_reduce': 0.6}",TPESampler,COMPLETE
675,0.19370995461940765,2025-04-25 22:47:09.089208,2025-04-25 22:47:45.618852,0 days 00:00:36.529644,1,105,171,,,,1,120,0.20083268318123518,0.00047706180242458075,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_675_best_state.pt,"{'learning_rate': 0.00047706180242458075, 'lr_reduce': 0.6}",TPESampler,COMPLETE
676,0.885522723197937,2025-04-25 22:47:14.380575,2025-04-25 22:47:19.902039,0 days 00:00:05.521464,1,52,487,,,,1,108,0.18696901735732419,0.005064524725646905,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_676_best_state.pt,"{'learning_rate': 0.005064524725646905, 'lr_reduce': 0.6}",TPESampler,COMPLETE
677,0.10965187847614288,2025-04-25 22:47:20.147286,2025-04-25 22:47:49.561976,0 days 00:00:29.414690,1,72,495,352.0,,,2,122,0.209604435022154,0.002394475105712388,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_677_best_state.pt,"{'learning_rate': 0.002394475105712388, 'lr_reduce': 0.6}",TPESampler,COMPLETE
678,0.8970761895179749,2025-04-25 22:47:25.661036,2025-04-25 22:47:31.219528,0 days 00:00:05.558492,4,75,409,233.0,,,2,124,0.1662327576567136,0.00031679342773498095,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_678_best_state.pt,"{'learning_rate': 0.00031679342773498095, 'lr_reduce': 0.6}",TPESampler,COMPLETE
679,0.8979286551475525,2025-04-25 22:47:31.517402,2025-04-25 22:47:35.714364,0 days 00:00:04.196962,3,58,130,153.0,67.0,302.0,4,72,0.059309990822543374,0.0008950568792193245,0.6,/work3/arnaou/checkpoints/megnet_Omega_trial_679_best_state.pt,"{'learning_rate': 0.0008950568792193245, 'lr_reduce': 0.6}",TPESampler,COMPLETE
