number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,system_attrs_auto:sampler,state
41,0.156437403225014,2025-04-24 20:59:40.126216,2025-04-24 20:59:44.976398,0 days 00:00:04.850182,9.493645467502855,0.012039842938270488,0.0005846219840317127,linear,TPESampler,COMPLETE
42,0.5447416751029129,2025-04-24 20:59:41.592642,2025-04-24 20:59:42.083154,0 days 00:00:00.490512,4.645903220291398,0.0013383618633515976,0.00017606705283164186,sigmoid,TPESampler,COMPLETE
43,0.1557497472540479,2025-04-24 20:59:42.254192,2025-04-24 21:00:15.103118,0 days 00:00:32.848926,82.46183996458116,0.0018569987667548706,0.00042506292800760363,linear,TPESampler,COMPLETE
44,0.15450079868506209,2025-04-24 20:59:45.147986,2025-04-24 20:59:50.036401,0 days 00:00:04.888415,9.285517066292027,0.008545236988962215,0.00010848929566591887,linear,TPESampler,COMPLETE
45,0.150147100658052,2025-04-24 20:59:47.656962,2025-04-24 20:59:59.368796,0 days 00:00:11.711834,43.31520625148377,0.025957857609049312,0.01815818394200885,linear,TPESampler,COMPLETE
46,0.15268755799459788,2025-04-24 20:59:50.196352,2025-04-24 20:59:55.236900,0 days 00:00:05.040548,14.989774734751569,0.018148118317890413,0.002399459289817289,linear,TPESampler,COMPLETE
47,0.15153846861451162,2025-04-24 20:59:55.402228,2025-04-24 21:00:05.189525,0 days 00:00:09.787297,38.00274876077554,0.019550512193447653,0.0003746443509596576,linear,TPESampler,COMPLETE
48,0.14882946198961283,2025-04-24 20:59:59.533604,2025-04-24 21:00:07.810170,0 days 00:00:08.276566,27.314567725528757,0.030683851498333383,0.013377315979425078,linear,TPESampler,COMPLETE
49,103.69228121139793,2025-04-24 21:00:05.354492,2025-04-24 21:00:05.895374,0 days 00:00:00.540882,9.33563695340017,0.016047639912679133,0.018911184285203095,sigmoid,TPESampler,COMPLETE
50,0.6261089931662169,2025-04-24 21:00:06.301222,2025-04-24 21:00:07.023200,0 days 00:00:00.721978,12.168618185503842,0.016086569984073158,0.004917191780119746,poly,TPESampler,COMPLETE
51,0.14905293637464317,2025-04-24 21:00:07.192544,2025-04-24 21:00:19.071944,0 days 00:00:11.879400,47.738454585502254,0.0347636181569758,0.2965685222160153,linear,TPESampler,COMPLETE
52,0.15453632179087,2025-04-24 21:00:07.975153,2025-04-24 21:00:15.616529,0 days 00:00:07.641376,19.435560045993217,0.015164865740093037,0.011630638611335802,linear,TPESampler,COMPLETE
53,0.14989855152969064,2025-04-24 21:00:15.347545,2025-04-24 21:00:28.265845,0 days 00:00:12.918300,71.08925140890273,0.027443824269551078,0.004133418560795141,linear,TPESampler,COMPLETE
54,0.15001658583728786,2025-04-24 21:00:15.802251,2025-04-24 21:00:33.374480,0 days 00:00:17.572229,72.73148272434925,0.021966252596611842,0.00011629146380845533,linear,TPESampler,COMPLETE
55,0.15784973562328006,2025-04-24 21:00:19.236287,2025-04-24 21:00:24.812572,0 days 00:00:05.576285,42.880591300767904,0.06949087889815476,0.38225044063350344,linear,TPESampler,COMPLETE
