number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
86,0.24513050282155857,2025-04-24 22:02:30.591650,2025-04-24 22:02:33.410576,0 days 00:00:02.818926,0.09693751342248721,12,sqrt,1,12,1226,0.9492734066553649,TPESampler,COMPLETE
87,0.24782603532336947,2025-04-24 22:02:32.290920,2025-04-24 22:02:34.857652,0 days 00:00:02.566732,0.04511796186235428,11,sqrt,1,15,1105,0.9448498376032547,TPESampler,COMPLETE
88,0.5920351587010325,2025-04-24 22:02:32.854715,2025-04-24 22:02:33.669041,0 days 00:00:00.814326,0.03447512832018719,5,sqrt,8,19,100,0.7531374529051917,TPESampler,COMPLETE
89,0.2775932290642902,2025-04-24 22:02:33.610106,2025-04-24 22:02:36.489145,0 days 00:00:02.879039,0.09269940790955944,10,log2,1,3,1445,0.6219334221836381,TPESampler,COMPLETE
90,0.24559209148276823,2025-04-24 22:02:33.922013,2025-04-24 22:02:36.392348,0 days 00:00:02.470335,0.09737276187636627,11,sqrt,2,16,1146,0.9720792977954594,TPESampler,COMPLETE
91,0.29855519467377173,2025-04-24 22:02:35.023177,2025-04-24 22:02:40.889227,0 days 00:00:05.866050,0.05979914688264101,11,,2,12,801,0.946988779452941,TPESampler,COMPLETE
92,0.22765688373244428,2025-04-24 22:02:36.543916,2025-04-24 22:02:38.974940,0 days 00:00:02.431024,0.0979769283262056,11,sqrt,1,13,1263,0.9266837304220462,TPESampler,COMPLETE
93,0.24737674495983303,2025-04-24 22:02:36.666810,2025-04-24 22:02:39.075569,0 days 00:00:02.408759,0.08930757868790848,11,sqrt,1,15,1243,0.9849123028970129,TPESampler,COMPLETE
94,0.26068639777798297,2025-04-24 22:02:39.146183,2025-04-24 22:02:42.215528,0 days 00:00:03.069345,0.048341657464093114,12,sqrt,2,13,1404,0.8849216623811704,TPESampler,COMPLETE
95,0.2404647422041919,2025-04-24 22:02:39.327835,2025-04-24 22:02:42.410729,0 days 00:00:03.082894,0.0797798292977768,12,sqrt,1,11,1496,0.9437239495694777,TPESampler,COMPLETE
96,0.2686530530454004,2025-04-24 22:02:41.085217,2025-04-24 22:02:47.933020,0 days 00:00:06.847803,0.07795092815804652,10,,1,18,1205,0.7857004865336481,TPESampler,COMPLETE
97,0.2581834850671503,2025-04-24 22:02:42.637363,2025-04-24 22:02:46.252470,0 days 00:00:03.615107,0.09353013176721506,9,sqrt,2,9,1484,0.8701979296861262,TPESampler,COMPLETE
98,0.2925057826996275,2025-04-24 22:02:42.917159,2025-04-24 22:02:46.267459,0 days 00:00:03.350300,0.07729985350828952,10,sqrt,5,10,1467,0.9949839019859097,TPESampler,COMPLETE
99,0.283470501774429,2025-04-24 22:02:46.529915,2025-04-24 22:02:57.467817,0 days 00:00:10.937902,0.08280641586704943,11,,1,13,1491,0.9194713904401026,TPESampler,COMPLETE
100,0.2441614669937292,2025-04-24 22:02:46.615471,2025-04-24 22:02:48.907946,0 days 00:00:02.292475,0.09391406648798693,11,sqrt,1,18,806,0.8837344171887626,TPESampler,COMPLETE
101,0.2563476460920209,2025-04-24 22:02:48.127885,2025-04-24 22:02:50.929102,0 days 00:00:02.801217,0.08973614899277661,12,sqrt,2,12,1454,0.9470257919744648,TPESampler,COMPLETE
102,0.2738703705287984,2025-04-24 22:02:49.219470,2025-04-24 22:02:50.512867,0 days 00:00:01.293397,0.08741224342309849,12,sqrt,2,20,362,0.8798487804229009,TPESampler,COMPLETE
103,0.2728209478019873,2025-04-24 22:02:50.884342,2025-04-24 22:02:52.532278,0 days 00:00:01.647936,0.09272498149967436,12,log2,1,15,608,0.8966284477457814,TPESampler,COMPLETE
104,0.23842709168705414,2025-04-24 22:02:51.240975,2025-04-24 22:02:53.361495,0 days 00:00:02.120520,0.06968216728511215,10,sqrt,1,16,862,0.8416832509670268,TPESampler,COMPLETE
105,0.28605128546916375,2025-04-24 22:02:53.104975,2025-04-24 22:02:54.945377,0 days 00:00:01.840402,0.08348356983819932,9,sqrt,3,20,723,0.7334182345136361,TPESampler,COMPLETE
106,0.2585612062047122,2025-04-24 22:02:53.683979,2025-04-24 22:02:55.610701,0 days 00:00:01.926722,0.08428548421193119,12,sqrt,2,19,822,0.8414923329582572,TPESampler,COMPLETE
107,0.2601133698008802,2025-04-24 22:02:55.221641,2025-04-24 22:02:57.183291,0 days 00:00:01.961650,0.08124195048001902,9,sqrt,2,16,945,0.8767400712064307,TPESampler,COMPLETE
108,0.4417369250410596,2025-04-24 22:02:55.792394,2025-04-24 22:02:57.102456,0 days 00:00:01.310062,0.03461357220919347,10,sqrt,8,3,514,0.6505812513114057,TPESampler,COMPLETE
109,0.23767138096578444,2025-04-24 22:02:57.239730,2025-04-24 22:03:00.054629,0 days 00:00:02.814899,0.09070339480175929,11,sqrt,1,17,985,0.8394514899161776,TPESampler,COMPLETE
110,0.29808254464208955,2025-04-24 22:02:57.317361,2025-04-24 22:02:59.397216,0 days 00:00:02.079855,0.07583874058299415,7,sqrt,2,18,449,0.9109815862652324,TPESampler,COMPLETE
111,0.3346950687770028,2025-04-24 22:02:58.275061,2025-04-24 22:03:06.510919,0 days 00:00:08.235858,0.09000476284937015,10,,2,7,1174,0.9069221207142933,TPESampler,COMPLETE
112,0.44706590962824133,2025-04-24 22:02:59.584364,2025-04-24 22:03:01.830286,0 days 00:00:02.245922,0.06426252084126294,4,log2,8,19,1355,0.6489338625232746,TPESampler,COMPLETE
113,0.28678692737363026,2025-04-24 22:03:00.295247,2025-04-24 22:03:01.913984,0 days 00:00:01.618737,0.05245975074941327,11,sqrt,3,13,596,0.8674865197160558,TPESampler,COMPLETE
114,0.25511920204160893,2025-04-24 22:03:02.133969,2025-04-24 22:03:03.849478,0 days 00:00:01.715509,0.09618305265155845,10,sqrt,1,20,811,0.9512618618782518,TPESampler,COMPLETE
115,0.28223090887466734,2025-04-24 22:03:02.290029,2025-04-24 22:03:04.779900,0 days 00:00:02.489871,0.07203394930418956,12,log2,2,9,1470,0.9719232288297889,TPESampler,COMPLETE
116,0.23787118055522435,2025-04-24 22:03:04.024199,2025-04-24 22:03:06.036690,0 days 00:00:02.012491,0.08159039428382867,12,sqrt,1,15,1097,0.7016158255336482,TPESampler,COMPLETE
117,0.26886535684100665,2025-04-24 22:03:04.946324,2025-04-24 22:03:11.461797,0 days 00:00:06.515473,0.05051756105689469,12,,1,17,946,0.8924532433564785,TPESampler,COMPLETE
118,0.2623792555310611,2025-04-24 22:03:06.200421,2025-04-24 22:03:07.987484,0 days 00:00:01.787063,0.08313440342976543,12,sqrt,3,16,1024,0.68738204137776,TPESampler,COMPLETE
119,0.26346978588296255,2025-04-24 22:03:06.665370,2025-04-24 22:03:10.960488,0 days 00:00:04.295118,0.08691315958044753,11,,1,15,698,0.8111356469088583,TPESampler,COMPLETE
120,0.36746059273066145,2025-04-24 22:03:08.145012,2025-04-24 22:03:12.052661,0 days 00:00:03.907649,0.02590914751562021,5,,8,3,1297,0.6397378731864743,TPESampler,COMPLETE
121,0.2579773088513701,2025-04-24 22:03:11.130813,2025-04-24 22:03:12.778233,0 days 00:00:01.647420,0.06702557404150389,11,sqrt,1,14,603,0.7951913494617988,TPESampler,COMPLETE
122,0.2606437224635687,2025-04-24 22:03:11.671649,2025-04-24 22:03:14.474952,0 days 00:00:02.803303,0.08155493988913613,11,log2,1,14,1290,0.6229152767004053,TPESampler,COMPLETE
123,0.2592085127059594,2025-04-24 22:03:12.230588,2025-04-24 22:03:14.561129,0 days 00:00:02.330541,0.07610338997590047,9,sqrt,1,15,919,0.8194460237875644,TPESampler,COMPLETE
124,0.2466469555794497,2025-04-24 22:03:13.059405,2025-04-24 22:03:15.329620,0 days 00:00:02.270215,0.0862433110003277,12,sqrt,1,16,867,0.8384295734260925,TPESampler,COMPLETE
125,0.2578093495272643,2025-04-24 22:03:14.704263,2025-04-24 22:03:17.236955,0 days 00:00:02.532692,0.031180601898623095,11,sqrt,1,10,1032,0.7516943773085469,TPESampler,COMPLETE
126,0.7321168951822865,2025-04-24 22:03:14.754372,2025-04-24 22:03:15.701625,0 days 00:00:00.947253,0.012062095357071267,10,log2,3,13,103,0.9228752844099206,TPESampler,COMPLETE
127,0.23124630533654716,2025-04-24 22:03:15.524147,2025-04-24 22:03:18.248703,0 days 00:00:02.724556,0.08308419685323747,9,sqrt,1,9,1196,0.9163171124945673,TPESampler,COMPLETE
128,0.25120173836784576,2025-04-24 22:03:15.882255,2025-04-24 22:03:18.316911,0 days 00:00:02.434656,0.0866261788881852,12,sqrt,1,17,982,0.6573379354067719,TPESampler,COMPLETE
129,0.2526925519357311,2025-04-24 22:03:17.411988,2025-04-24 22:03:20.911366,0 days 00:00:03.499378,0.08719665701632488,12,sqrt,1,7,1431,0.9295356174673893,TPESampler,COMPLETE
