number,value,datetime_start,datetime_complete,duration,params_depth,params_edge_hidden_dim,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_node_hidden_dim,params_rep_dropout,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
1368,0.17484360933303833,2025-04-26 09:57:40.147194,2025-04-26 09:58:06.605926,0 days 00:00:26.458732,1,33,265,402.0,,,2,88,0.214367361327798,0.007720789834568131,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1368_best_state.pt,"{'learning_rate': 0.007720789834568131, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1369,0.25314846634864807,2025-04-26 09:57:54.840557,2025-04-26 09:58:04.990001,0 days 00:00:10.149444,1,54,473,335.0,218.0,,3,77,0.24196282565913566,0.0029622665603314118,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1369_best_state.pt,"{'learning_rate': 0.0029622665603314118, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1370,0.8869508504867554,2025-04-26 09:58:05.201500,2025-04-26 09:58:10.309419,0 days 00:00:05.107919,3,128,496,285.0,422.0,,3,72,0.14178756958409033,0.00327239731967005,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1370_best_state.pt,"{'learning_rate': 0.00327239731967005, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1371,0.13185648620128632,2025-04-26 09:58:06.810070,2025-04-26 09:58:26.279686,0 days 00:00:19.469616,1,78,140,,,,1,128,0.027914100669700768,0.003116798401868426,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1371_best_state.pt,"{'learning_rate': 0.003116798401868426, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1372,0.19089174270629883,2025-04-26 09:58:07.844168,2025-04-26 09:58:24.815784,0 days 00:00:16.971616,2,34,337,369.0,334.0,,3,124,0.19654942075278886,0.007864160620546606,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1372_best_state.pt,"{'learning_rate': 0.007864160620546606, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1373,0.09181202203035355,2025-04-26 09:58:10.515114,2025-04-26 09:58:45.559196,0 days 00:00:35.044082,1,65,216,423.0,345.0,282.0,4,107,0.012855132173615736,0.003719172465093985,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1373_best_state.pt,"{'learning_rate': 0.003719172465093985, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1374,0.12655335664749146,2025-04-26 09:58:25.057761,2025-04-26 09:58:48.838941,0 days 00:00:23.781180,1,34,139,463.0,,,2,119,0.05681482172673069,0.00821662884532094,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1374_best_state.pt,"{'learning_rate': 0.00821662884532094, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1375,0.8360973596572876,2025-04-26 09:58:26.481796,2025-04-26 09:58:39.767684,0 days 00:00:13.285888,4,115,226,271.0,288.0,182.0,4,95,0.23586200625601872,0.0010473321841233778,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1375_best_state.pt,"{'learning_rate': 0.0010473321841233778, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1376,0.12527857720851898,2025-04-26 09:58:39.958358,2025-04-26 09:59:06.637953,0 days 00:00:26.679595,1,38,392,391.0,,,2,103,0.17752698828879915,0.0076819873183946496,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1376_best_state.pt,"{'learning_rate': 0.0076819873183946496, 'lr_reduce': 0.6}",TPESampler,COMPLETE
1377,0.13768698275089264,2025-04-26 09:58:45.771237,2025-04-26 09:59:20.514351,0 days 00:00:34.743114,1,61,292,,,,1,55,0.19015641730792385,0.0006079492047512081,0.6,/work3/arnaou/checkpoints/megnet_Pc_trial_1377_best_state.pt,"{'learning_rate': 0.0006079492047512081, 'lr_reduce': 0.6}",TPESampler,COMPLETE
