number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
88,0.34623637401373747,2025-04-24 21:19:03.723150,2025-04-24 21:19:06.154182,0 days 00:00:02.431032,True,squared_error,39,,1,2,359,TPESampler,COMPLETE
89,0.34327854653060635,2025-04-24 21:19:04.574146,2025-04-24 21:19:07.949643,0 days 00:00:03.375497,True,squared_error,40,,1,3,686,TPESampler,COMPLETE
90,0.5860688519767882,2025-04-24 21:19:04.912018,2025-04-24 21:19:07.183054,0 days 00:00:02.271036,True,squared_error,26,log2,1,2,811,TPESampler,COMPLETE
91,0.44293026712437433,2025-04-24 21:19:06.334991,2025-04-24 21:19:08.687016,0 days 00:00:02.352025,True,squared_error,47,,2,7,498,TPESampler,COMPLETE
92,0.45818670250800125,2025-04-24 21:19:07.349386,2025-04-24 21:19:09.821410,0 days 00:00:02.472024,True,squared_error,44,log2,1,2,685,TPESampler,COMPLETE
93,0.3447464262046887,2025-04-24 21:19:08.168483,2025-04-24 21:19:11.283463,0 days 00:00:03.114980,True,squared_error,37,,1,3,670,TPESampler,COMPLETE
94,0.34202431009159046,2025-04-24 21:19:08.866024,2025-04-24 21:19:13.014252,0 days 00:00:04.148228,True,squared_error,46,,1,3,799,TPESampler,COMPLETE
95,0.37753789017686307,2025-04-24 21:19:09.999265,2025-04-24 21:19:58.642663,0 days 00:00:48.643398,True,absolute_error,45,,1,8,914,TPESampler,COMPLETE
96,0.34239764576685683,2025-04-24 21:19:11.453094,2025-04-24 21:19:14.244585,0 days 00:00:02.791491,True,squared_error,46,,1,2,512,TPESampler,COMPLETE
97,0.9786740968896346,2025-04-24 21:19:13.172955,2025-04-24 21:19:14.181254,0 days 00:00:01.008299,False,absolute_error,42,log2,10,6,607,TPESampler,COMPLETE
98,0.4636504342246532,2025-04-24 21:19:14.394364,2025-04-24 21:19:16.752936,0 days 00:00:02.358572,True,squared_error,43,,3,2,644,TPESampler,COMPLETE
99,0.3472663622933397,2025-04-24 21:19:14.424633,2025-04-24 21:19:39.592374,0 days 00:00:25.167741,True,absolute_error,50,,1,2,423,TPESampler,COMPLETE
100,0.9660767030826116,2025-04-24 21:19:15.424369,2025-04-24 21:19:16.411152,0 days 00:00:00.986783,False,absolute_error,15,log2,6,6,502,TPESampler,COMPLETE
101,0.3727293565123044,2025-04-24 21:19:16.581453,2025-04-24 21:19:18.078756,0 days 00:00:01.497303,False,squared_error,47,sqrt,1,3,531,TPESampler,COMPLETE
102,0.9261000406511251,2025-04-24 21:19:16.929175,2025-04-24 21:19:17.612635,0 days 00:00:00.683460,False,squared_error,18,log2,10,5,111,TPESampler,COMPLETE
103,0.5500683347792528,2025-04-24 21:19:17.778878,2025-04-24 21:19:19.155150,0 days 00:00:01.376272,True,squared_error,18,sqrt,1,9,631,TPESampler,COMPLETE
104,0.6340541305475506,2025-04-24 21:19:18.332566,2025-04-24 21:19:20.413178,0 days 00:00:02.080612,False,squared_error,49,,9,29,732,TPESampler,COMPLETE
105,0.6329633346532514,2025-04-24 21:19:19.320608,2025-04-24 21:19:22.891047,0 days 00:00:03.570439,False,absolute_error,11,,12,20,413,TPESampler,COMPLETE
106,0.6139210184577694,2025-04-24 21:19:20.579056,2025-04-24 21:19:21.654038,0 days 00:00:01.074982,False,squared_error,25,log2,1,11,611,TPESampler,COMPLETE
107,0.34316450811479315,2025-04-24 21:19:21.824358,2025-04-24 21:19:25.665975,0 days 00:00:03.841617,True,squared_error,44,,1,3,836,TPESampler,COMPLETE
108,0.5013113572394221,2025-04-24 21:19:23.067695,2025-04-24 21:19:25.180936,0 days 00:00:02.113241,False,squared_error,6,,1,3,731,TPESampler,COMPLETE
109,0.34021127647124577,2025-04-24 21:19:25.344618,2025-04-24 21:19:27.979373,0 days 00:00:02.634755,True,squared_error,48,,1,3,450,TPESampler,COMPLETE
110,0.35449080312799136,2025-04-24 21:19:25.897943,2025-04-24 21:19:29.361712,0 days 00:00:03.463769,True,squared_error,49,,1,5,759,TPESampler,COMPLETE
111,0.3468221613226958,2025-04-24 21:19:28.139727,2025-04-24 21:19:30.947263,0 days 00:00:02.807536,True,squared_error,45,,1,4,532,TPESampler,COMPLETE
112,0.34627808664085163,2025-04-24 21:19:28.780477,2025-04-24 21:19:31.627487,0 days 00:00:02.847010,True,squared_error,50,,1,4,571,TPESampler,COMPLETE
113,0.9588115046781067,2025-04-24 21:19:29.527823,2025-04-24 21:19:30.936827,0 days 00:00:01.409004,False,absolute_error,36,sqrt,14,3,940,TPESampler,COMPLETE
114,0.3446569271226191,2025-04-24 21:19:31.118556,2025-04-24 21:19:34.681172,0 days 00:00:03.562616,True,squared_error,40,,1,2,706,TPESampler,COMPLETE
115,0.5407748966067505,2025-04-24 21:19:31.130678,2025-04-24 21:19:35.884396,0 days 00:00:04.753718,False,absolute_error,18,sqrt,1,3,424,TPESampler,COMPLETE
116,0.992240773315842,2025-04-24 21:19:31.976766,2025-04-24 21:19:32.721172,0 days 00:00:00.744406,True,absolute_error,18,log2,10,4,193,TPESampler,COMPLETE
117,0.6005231274671629,2025-04-24 21:19:32.885653,2025-04-24 21:19:33.639574,0 days 00:00:00.753921,True,squared_error,33,,8,49,128,TPESampler,COMPLETE
118,0.3480086460524416,2025-04-24 21:19:33.799927,2025-04-24 21:19:37.208373,0 days 00:00:03.408446,True,squared_error,39,,1,4,677,TPESampler,COMPLETE
119,0.3441687213585102,2025-04-24 21:19:34.843695,2025-04-24 21:19:37.279720,0 days 00:00:02.436025,True,squared_error,49,,1,2,438,TPESampler,COMPLETE
120,0.34798167031567245,2025-04-24 21:19:36.057110,2025-04-24 21:19:40.028566,0 days 00:00:03.971456,True,squared_error,36,,1,4,837,TPESampler,COMPLETE
121,0.4603672194584903,2025-04-24 21:19:37.393460,2025-04-24 21:20:52.974831,0 days 00:01:15.581371,False,absolute_error,20,,1,18,954,TPESampler,COMPLETE
122,0.34298780754382524,2025-04-24 21:19:37.456524,2025-04-24 21:19:41.903707,0 days 00:00:04.447183,True,squared_error,42,,1,3,856,TPESampler,COMPLETE
123,0.9371430492261165,2025-04-24 21:19:39.775150,2025-04-24 21:19:41.349573,0 days 00:00:01.574423,True,squared_error,43,log2,12,2,839,TPESampler,COMPLETE
124,0.44779744704237606,2025-04-24 21:19:40.243682,2025-04-24 21:19:44.697576,0 days 00:00:04.453894,False,squared_error,42,,2,5,984,TPESampler,COMPLETE
125,0.34312609766933927,2025-04-24 21:19:41.527464,2025-04-24 21:19:44.633351,0 days 00:00:03.105887,True,squared_error,50,,1,2,436,TPESampler,COMPLETE
126,0.3443113173994185,2025-04-24 21:19:42.188922,2025-04-24 21:19:46.377898,0 days 00:00:04.188976,True,squared_error,42,,1,3,740,TPESampler,COMPLETE
127,0.6023836725212754,2025-04-24 21:19:43.091295,2025-04-24 21:19:48.285368,0 days 00:00:05.194073,True,absolute_error,28,log2,1,4,861,TPESampler,COMPLETE
128,0.44070865039019164,2025-04-24 21:19:44.840419,2025-04-24 21:20:08.380841,0 days 00:00:23.540422,True,absolute_error,35,,2,3,882,TPESampler,COMPLETE
129,0.3465479641447269,2025-04-24 21:19:44.873201,2025-04-24 21:19:49.052897,0 days 00:00:04.179696,True,squared_error,43,,1,4,921,TPESampler,COMPLETE
130,0.6452999072256137,2025-04-24 21:19:46.550253,2025-04-24 21:19:48.315267,0 days 00:00:01.765014,True,squared_error,42,sqrt,2,4,919,TPESampler,COMPLETE
131,0.9159386416315535,2025-04-24 21:19:48.411342,2025-04-24 21:19:50.214964,0 days 00:00:01.803622,True,squared_error,20,sqrt,14,14,713,TPESampler,COMPLETE
132,0.34266506424101556,2025-04-24 21:19:48.465219,2025-04-24 21:19:52.831516,0 days 00:00:04.366297,True,squared_error,45,,1,2,608,TPESampler,COMPLETE
133,0.3794623265169297,2025-04-24 21:19:49.272135,2025-04-24 21:20:50.668957,0 days 00:01:01.396822,False,absolute_error,45,,1,4,609,TPESampler,COMPLETE
134,0.8811050372869188,2025-04-24 21:19:50.383185,2025-04-24 21:19:51.502479,0 days 00:00:01.119294,False,squared_error,47,log2,3,2,708,TPESampler,COMPLETE
135,0.9686970345283026,2025-04-24 21:19:51.777668,2025-04-24 21:19:53.173624,0 days 00:00:01.395956,True,absolute_error,48,sqrt,14,26,657,TPESampler,COMPLETE
136,0.44849297293461815,2025-04-24 21:19:53.022921,2025-04-24 21:19:55.807413,0 days 00:00:02.784492,False,squared_error,50,,2,2,515,TPESampler,COMPLETE
137,0.34205377939103465,2025-04-24 21:19:53.330342,2025-04-24 21:19:55.313802,0 days 00:00:01.983460,True,squared_error,47,,1,3,319,TPESampler,COMPLETE
138,0.34813470233174426,2025-04-24 21:19:55.488142,2025-04-24 21:19:57.490847,0 days 00:00:02.002705,True,squared_error,43,,1,4,232,TPESampler,COMPLETE
139,0.9658121203934813,2025-04-24 21:19:56.244516,2025-04-24 21:19:57.762210,0 days 00:00:01.517694,False,absolute_error,13,log2,6,5,966,TPESampler,COMPLETE
140,0.8471413590325335,2025-04-24 21:19:57.674871,2025-04-24 21:19:58.846870,0 days 00:00:01.171999,False,squared_error,8,sqrt,7,20,589,TPESampler,COMPLETE
141,0.3443016712214065,2025-04-24 21:19:57.923401,2025-04-24 21:20:00.635746,0 days 00:00:02.712345,True,squared_error,45,,1,2,405,TPESampler,COMPLETE
142,0.42658900946709954,2025-04-24 21:19:58.821293,2025-04-24 21:20:02.064427,0 days 00:00:03.243134,True,squared_error,49,,2,3,772,TPESampler,COMPLETE
143,0.3420427101848732,2025-04-24 21:19:59.018876,2025-04-24 21:20:01.512707,0 days 00:00:02.493831,True,squared_error,49,,1,3,365,TPESampler,COMPLETE
144,0.9113072235520949,2025-04-24 21:20:00.805014,2025-04-24 21:20:02.011574,0 days 00:00:01.206560,False,squared_error,10,sqrt,13,2,734,TPESampler,COMPLETE
145,0.341874029663434,2025-04-24 21:20:01.736231,2025-04-24 21:20:03.746862,0 days 00:00:02.010631,True,squared_error,50,,1,3,327,TPESampler,COMPLETE
146,0.3512249506816807,2025-04-24 21:20:02.178938,2025-04-24 21:20:03.770379,0 days 00:00:01.591441,True,squared_error,49,,1,2,174,TPESampler,COMPLETE
147,0.42566301549604174,2025-04-24 21:20:02.314555,2025-04-24 21:20:03.502601,0 days 00:00:01.188046,True,squared_error,50,log2,1,2,210,TPESampler,COMPLETE
148,0.370885696193276,2025-04-24 21:20:03.672137,2025-04-24 21:20:05.366145,0 days 00:00:01.694008,True,squared_error,49,,1,7,277,TPESampler,COMPLETE
149,0.35322126662968795,2025-04-24 21:20:03.872920,2025-04-24 21:20:06.512850,0 days 00:00:02.639930,True,squared_error,50,,1,5,373,TPESampler,COMPLETE
150,0.9153949143485928,2025-04-24 21:20:03.923257,2025-04-24 21:20:05.122171,0 days 00:00:01.198914,False,squared_error,20,log2,6,39,297,TPESampler,COMPLETE
151,0.3917880538052004,2025-04-24 21:20:05.302627,2025-04-24 21:20:06.518158,0 days 00:00:01.215531,True,squared_error,46,sqrt,1,5,366,TPESampler,COMPLETE
152,0.34233394433176056,2025-04-24 21:20:05.540824,2025-04-24 21:20:07.549954,0 days 00:00:02.009130,True,squared_error,45,,1,3,346,TPESampler,COMPLETE
153,0.9296572766973175,2025-04-24 21:20:06.666930,2025-04-24 21:20:08.225853,0 days 00:00:01.558923,False,squared_error,24,log2,12,9,809,TPESampler,COMPLETE
154,0.34177793380403676,2025-04-24 21:20:06.722389,2025-04-24 21:20:12.361316,0 days 00:00:05.638927,True,squared_error,46,,1,3,981,TPESampler,COMPLETE
155,0.42844081412064405,2025-04-24 21:20:07.786902,2025-04-24 21:20:09.338285,0 days 00:00:01.551383,True,squared_error,49,,2,3,299,TPESampler,COMPLETE
156,0.7523792829570363,2025-04-24 21:20:08.430122,2025-04-24 21:20:09.779421,0 days 00:00:01.349299,False,squared_error,6,sqrt,2,5,306,TPESampler,COMPLETE
157,0.34358775536332825,2025-04-24 21:20:08.561651,2025-04-24 21:20:11.375183,0 days 00:00:02.813532,True,squared_error,44,,1,3,393,TPESampler,COMPLETE
