number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
58,0.2660138043895301,2025-04-24 21:35:58.499151,2025-04-24 21:36:02.700002,0 days 00:00:04.200851,0.0818903070009961,5,,1,19,1085,0.6996413910244524,TPESampler,COMPLETE
59,0.2639491023940772,2025-04-24 21:35:59.158986,2025-04-24 21:36:02.333961,0 days 00:00:03.174975,0.09456881158728428,4,sqrt,1,14,1378,0.7235847456897155,TPESampler,COMPLETE
60,0.2930908430000425,2025-04-24 21:35:59.643489,2025-04-24 21:36:02.563707,0 days 00:00:02.920218,0.06767386199800193,7,log2,2,14,1269,0.6032999871093233,TPESampler,COMPLETE
61,0.2628088722879614,2025-04-24 21:36:02.526468,2025-04-24 21:36:07.148121,0 days 00:00:04.621653,0.07957946295256281,6,,1,20,1193,0.7572871684930196,TPESampler,COMPLETE
62,0.34185631745158934,2025-04-24 21:36:02.694856,2025-04-24 21:36:06.110208,0 days 00:00:03.415352,0.042436773096260656,3,,2,18,973,0.7239389566891802,TPESampler,COMPLETE
63,0.28624415077907894,2025-04-24 21:36:02.934155,2025-04-24 21:36:05.584408,0 days 00:00:02.650253,0.06627731322250102,3,sqrt,2,13,1361,0.7177298084809469,TPESampler,COMPLETE
64,0.34824533164252885,2025-04-24 21:36:05.772668,2025-04-24 21:36:08.587438,0 days 00:00:02.814770,0.0986591453760882,5,,2,17,685,0.7242599132525425,TPESampler,COMPLETE
65,0.259232471061991,2025-04-24 21:36:06.247551,2025-04-24 21:36:09.291429,0 days 00:00:03.043878,0.08407481804713617,5,sqrt,1,14,1484,0.7552943314679748,TPESampler,COMPLETE
66,0.27493993483033996,2025-04-24 21:36:07.330842,2025-04-24 21:36:12.275089,0 days 00:00:04.944247,0.08679068315389282,6,,1,16,1332,0.7941031589210008,TPESampler,COMPLETE
67,0.27324134894128677,2025-04-24 21:36:08.765592,2025-04-24 21:36:13.310392,0 days 00:00:04.544800,0.09782943048088433,4,,1,20,1208,0.7327775590458641,TPESampler,COMPLETE
