number,value,datetime_start,datetime_complete,duration,params_bootstrap,params_criterion,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,system_attrs_auto:sampler,state
59,0.40266076218695634,2025-04-24 21:35:32.066504,2025-04-24 21:35:37.351357,0 days 00:00:05.284853,False,squared_error,49,,2,5,828,TPESampler,COMPLETE
60,0.4668808427166325,2025-04-24 21:35:37.228076,2025-04-24 21:35:45.787328,0 days 00:00:08.559252,False,squared_error,50,,1,2,892,TPESampler,COMPLETE
61,0.8780620508449921,2025-04-24 21:35:37.500135,2025-04-24 21:35:39.325741,0 days 00:00:01.825606,False,squared_error,39,sqrt,3,5,911,TPESampler,COMPLETE
62,0.4289204245024861,2025-04-24 21:35:39.485370,2025-04-24 21:35:44.756567,0 days 00:00:05.271197,False,squared_error,38,,3,3,952,TPESampler,COMPLETE
63,0.40287318488527923,2025-04-24 21:35:44.918960,2025-04-24 21:35:50.109314,0 days 00:00:05.190354,False,squared_error,40,,2,4,749,TPESampler,COMPLETE
64,0.4289216482563856,2025-04-24 21:35:45.958765,2025-04-24 21:35:50.619274,0 days 00:00:04.660509,False,squared_error,49,,3,2,808,TPESampler,COMPLETE
65,0.7788640554755802,2025-04-24 21:35:50.269654,2025-04-24 21:35:51.846190,0 days 00:00:01.576536,False,squared_error,48,sqrt,2,7,547,TPESampler,COMPLETE
66,0.4150771990923648,2025-04-24 21:35:50.923854,2025-04-24 21:35:56.052786,0 days 00:00:05.128932,False,squared_error,41,,2,6,784,TPESampler,COMPLETE
67,0.42207033605282096,2025-04-24 21:35:52.013722,2025-04-24 21:35:57.857757,0 days 00:00:05.844035,False,squared_error,50,,2,8,928,TPESampler,COMPLETE
68,0.40287076873215666,2025-04-24 21:35:56.246629,2025-04-24 21:36:03.028242,0 days 00:00:06.781613,False,squared_error,48,,2,3,919,TPESampler,COMPLETE
69,0.4083492121235719,2025-04-24 21:35:58.033664,2025-04-24 21:36:01.981560,0 days 00:00:03.947896,True,squared_error,50,,2,7,905,TPESampler,COMPLETE
70,1.3560371665001394,2025-04-24 21:36:02.158311,2025-04-24 21:36:04.953712,0 days 00:00:02.795401,True,absolute_error,45,log2,3,4,887,TPESampler,COMPLETE
71,0.49219005380707637,2025-04-24 21:36:03.210425,2025-04-24 21:36:58.310464,0 days 00:00:55.100039,False,absolute_error,30,,3,4,956,TPESampler,COMPLETE
72,0.4028681164801486,2025-04-24 21:36:05.116297,2025-04-24 21:36:11.224139,0 days 00:00:06.107842,False,squared_error,43,,2,2,935,TPESampler,COMPLETE
73,0.402589574643328,2025-04-24 21:36:11.767775,2025-04-24 21:36:15.772418,0 days 00:00:04.004643,True,squared_error,38,,2,2,860,TPESampler,COMPLETE
74,0.4022457716135221,2025-04-24 21:36:15.961106,2025-04-24 21:36:20.444114,0 days 00:00:04.483008,True,squared_error,44,,2,2,974,TPESampler,COMPLETE
75,0.40252821490147556,2025-04-24 21:36:20.612753,2025-04-24 21:36:24.475952,0 days 00:00:03.863199,True,squared_error,37,,2,2,812,TPESampler,COMPLETE
76,1.2303474900325166,2025-04-24 21:36:24.648774,2025-04-24 21:36:26.054467,0 days 00:00:01.405693,True,squared_error,34,log2,2,2,803,TPESampler,COMPLETE
77,0.40217779514697144,2025-04-24 21:36:26.218800,2025-04-24 21:36:30.673984,0 days 00:00:04.455184,True,squared_error,46,,2,2,971,TPESampler,COMPLETE
