number,value,datetime_start,datetime_complete,duration,params_final_dropout,params_mlp_dim_00,params_mlp_dim_01,params_mlp_dim_02,params_mlp_dim_03,params_mlp_n_layers,params_train_learning_rate,params_train_lr_reduce,user_attrs_best_state_dict_path,user_attrs_training_params,system_attrs_auto:sampler,state
43,0.0807090774178505,2025-04-25 16:58:43.108881,2025-04-25 16:59:01.239482,0 days 00:00:18.130601,0.001559356835647253,64,320,336.0,,3,0.0006435141448108573,0.6,checkpoints/mlp_Pc_trial_43_best_state.pt,"{'learning_rate': 0.0006435141448108573, 'lr_reduce': 0.6}",TPESampler,COMPLETE
44,0.0692223459482193,2025-04-25 16:58:44.972342,2025-04-25 16:58:54.263791,0 days 00:00:09.291449,0.03572148662073152,80,128,432.0,400.0,4,0.007548767757932057,0.6,checkpoints/mlp_Pc_trial_44_best_state.pt,"{'learning_rate': 0.007548767757932057, 'lr_reduce': 0.6}",TPESampler,COMPLETE
45,0.06594216823577881,2025-04-25 16:58:53.352909,2025-04-25 16:59:03.906805,0 days 00:00:10.553896,0.011874705118304584,160,352,336.0,,3,0.0040489251709010035,0.6,checkpoints/mlp_Pc_trial_45_best_state.pt,"{'learning_rate': 0.0040489251709010035, 'lr_reduce': 0.6}",TPESampler,COMPLETE
46,0.09107363969087601,2025-04-25 16:58:54.495758,2025-04-25 16:59:03.361921,0 days 00:00:08.866163,0.08204660648676557,48,64,480.0,432.0,4,0.006516754381135424,0.6,checkpoints/mlp_Pc_trial_46_best_state.pt,"{'learning_rate': 0.006516754381135424, 'lr_reduce': 0.6}",TPESampler,COMPLETE
47,0.10194476693868637,2025-04-25 16:59:01.486704,2025-04-25 16:59:17.441226,0 days 00:00:15.954522,0.05503139585729297,48,128,448.0,416.0,4,0.0003208664197244841,0.6,checkpoints/mlp_Pc_trial_47_best_state.pt,"{'learning_rate': 0.0003208664197244841, 'lr_reduce': 0.6}",TPESampler,COMPLETE
48,0.07495858520269394,2025-04-25 16:59:03.567524,2025-04-25 16:59:21.925509,0 days 00:00:18.357985,0.013947158892205344,272,416,320.0,,3,0.0005451362366654662,0.6,checkpoints/mlp_Pc_trial_48_best_state.pt,"{'learning_rate': 0.0005451362366654662, 'lr_reduce': 0.6}",TPESampler,COMPLETE
49,0.08177956938743591,2025-04-25 16:59:04.174356,2025-04-25 16:59:16.012397,0 days 00:00:11.838041,0.027145736956916803,144,224,336.0,,3,0.0030722203702698,0.6,checkpoints/mlp_Pc_trial_49_best_state.pt,"{'learning_rate': 0.0030722203702698, 'lr_reduce': 0.6}",TPESampler,COMPLETE
50,0.07741636037826538,2025-04-25 16:59:16.268508,2025-04-25 16:59:28.104768,0 days 00:00:11.836260,0.02762483484522829,256,384,,,2,0.0062237851465447155,0.6,checkpoints/mlp_Pc_trial_50_best_state.pt,"{'learning_rate': 0.0062237851465447155, 'lr_reduce': 0.6}",TPESampler,COMPLETE
51,0.07258112728595734,2025-04-25 16:59:17.687243,2025-04-25 16:59:33.751892,0 days 00:00:16.064649,0.09797461875556367,176,416,400.0,,3,0.007274913154251531,0.6,checkpoints/mlp_Pc_trial_51_best_state.pt,"{'learning_rate': 0.007274913154251531, 'lr_reduce': 0.6}",TPESampler,COMPLETE
52,0.07761170715093613,2025-04-25 16:59:22.184855,2025-04-25 16:59:31.979436,0 days 00:00:09.794581,0.003663260412592002,336,416,320.0,512.0,4,0.004889294308476118,0.6,checkpoints/mlp_Pc_trial_52_best_state.pt,"{'learning_rate': 0.004889294308476118, 'lr_reduce': 0.6}",TPESampler,COMPLETE
53,0.08287687599658966,2025-04-25 16:59:28.397085,2025-04-25 16:59:40.013763,0 days 00:00:11.616678,0.06724251940874071,256,320,416.0,,3,0.0014199850845579751,0.6,checkpoints/mlp_Pc_trial_53_best_state.pt,"{'learning_rate': 0.0014199850845579751, 'lr_reduce': 0.6}",TPESampler,COMPLETE
54,0.17678236961364746,2025-04-25 16:59:32.215215,2025-04-25 16:59:42.780328,0 days 00:00:10.565113,0.2662324063735766,304,128,416.0,192.0,4,0.0007344304194045455,0.6,checkpoints/mlp_Pc_trial_54_best_state.pt,"{'learning_rate': 0.0007344304194045455, 'lr_reduce': 0.6}",TPESampler,COMPLETE
55,0.07901440560817719,2025-04-25 16:59:33.970364,2025-04-25 16:59:45.163026,0 days 00:00:11.192662,0.10593705800784986,240,368,448.0,,3,0.0041643155080316775,0.6,checkpoints/mlp_Pc_trial_55_best_state.pt,"{'learning_rate': 0.0041643155080316775, 'lr_reduce': 0.6}",TPESampler,COMPLETE
56,0.07605744898319244,2025-04-25 16:59:40.252234,2025-04-25 16:59:49.692745,0 days 00:00:09.440511,0.11762600662330346,112,432,448.0,,3,0.0065668625860483415,0.6,checkpoints/mlp_Pc_trial_56_best_state.pt,"{'learning_rate': 0.0065668625860483415, 'lr_reduce': 0.6}",TPESampler,COMPLETE
57,0.06532011181116104,2025-04-25 16:59:43.182606,2025-04-25 16:59:55.576303,0 days 00:00:12.393697,0.02072657413404473,48,320,416.0,,3,0.0021199305805582546,0.6,checkpoints/mlp_Pc_trial_57_best_state.pt,"{'learning_rate': 0.0021199305805582546, 'lr_reduce': 0.6}",TPESampler,COMPLETE
58,0.07234829664230347,2025-04-25 16:59:45.396057,2025-04-25 16:59:54.057212,0 days 00:00:08.661155,0.003502411773038186,208,384,288.0,,3,0.009948404287528521,0.6,checkpoints/mlp_Pc_trial_58_best_state.pt,"{'learning_rate': 0.009948404287528521, 'lr_reduce': 0.6}",TPESampler,COMPLETE
59,0.08167435973882675,2025-04-25 16:59:49.915457,2025-04-25 17:00:02.224917,0 days 00:00:12.309460,0.004378857366624798,416,128,368.0,,3,0.0009189329600547841,0.6,checkpoints/mlp_Pc_trial_59_best_state.pt,"{'learning_rate': 0.0009189329600547841, 'lr_reduce': 0.6}",TPESampler,COMPLETE
60,0.08202101290225983,2025-04-25 16:59:54.283991,2025-04-25 17:00:08.098656,0 days 00:00:13.814665,0.03740818226077142,192,400,224.0,,3,0.008422100384955998,0.6,checkpoints/mlp_Pc_trial_60_best_state.pt,"{'learning_rate': 0.008422100384955998, 'lr_reduce': 0.6}",TPESampler,COMPLETE
61,0.07635371387004852,2025-04-25 16:59:55.827129,2025-04-25 17:00:05.426595,0 days 00:00:09.599466,0.015439229494768383,112,352,288.0,,3,0.003482552123748996,0.6,checkpoints/mlp_Pc_trial_61_best_state.pt,"{'learning_rate': 0.003482552123748996, 'lr_reduce': 0.6}",TPESampler,COMPLETE
62,0.07919880002737045,2025-04-25 17:00:02.474607,2025-04-25 17:00:11.217906,0 days 00:00:08.743299,0.02137308863948058,272,336,272.0,,3,0.009331627834838077,0.6,checkpoints/mlp_Pc_trial_62_best_state.pt,"{'learning_rate': 0.009331627834838077, 'lr_reduce': 0.6}",TPESampler,COMPLETE
63,0.10873319953680038,2025-04-25 17:00:05.658244,2025-04-25 17:00:15.824343,0 days 00:00:10.166099,0.13811190095588377,32,240,144.0,,3,0.0020828624159044315,0.6,checkpoints/mlp_Pc_trial_63_best_state.pt,"{'learning_rate': 0.0020828624159044315, 'lr_reduce': 0.6}",TPESampler,COMPLETE
64,0.0736977756023407,2025-04-25 17:00:08.385049,2025-04-25 17:00:19.866783,0 days 00:00:11.481734,0.09143929238792353,112,192,272.0,384.0,4,0.00866002134195498,0.6,checkpoints/mlp_Pc_trial_64_best_state.pt,"{'learning_rate': 0.00866002134195498, 'lr_reduce': 0.6}",TPESampler,COMPLETE
65,0.07502512633800507,2025-04-25 17:00:11.450375,2025-04-25 17:00:33.161902,0 days 00:00:21.711527,0.024949495908152954,48,144,512.0,,3,0.0004577624017481061,0.6,checkpoints/mlp_Pc_trial_65_best_state.pt,"{'learning_rate': 0.0004577624017481061, 'lr_reduce': 0.6}",TPESampler,COMPLETE
66,0.07982570677995682,2025-04-25 17:00:16.219907,2025-04-25 17:00:23.947019,0 days 00:00:07.727112,0.019303545930629242,80,176,304.0,,3,0.008410566030791036,0.6,checkpoints/mlp_Pc_trial_66_best_state.pt,"{'learning_rate': 0.008410566030791036, 'lr_reduce': 0.6}",TPESampler,COMPLETE
67,0.07256099581718445,2025-04-25 17:00:20.146663,2025-04-25 17:00:32.069027,0 days 00:00:11.922364,0.013603258267682362,32,256,304.0,,3,0.001413579899026117,0.6,checkpoints/mlp_Pc_trial_67_best_state.pt,"{'learning_rate': 0.001413579899026117, 'lr_reduce': 0.6}",TPESampler,COMPLETE
68,0.09654393047094345,2025-04-25 17:00:24.194935,2025-04-25 17:00:33.907194,0 days 00:00:09.712259,0.0011647815512470377,32,64,432.0,384.0,4,0.00953123393375326,0.6,checkpoints/mlp_Pc_trial_68_best_state.pt,"{'learning_rate': 0.00953123393375326, 'lr_reduce': 0.6}",TPESampler,COMPLETE
69,0.07003180682659149,2025-04-25 17:00:32.296263,2025-04-25 17:00:43.325233,0 days 00:00:11.028970,0.018296122731956663,32,288,288.0,,3,0.0015100383183369063,0.6,checkpoints/mlp_Pc_trial_69_best_state.pt,"{'learning_rate': 0.0015100383183369063, 'lr_reduce': 0.6}",TPESampler,COMPLETE
70,0.08466588705778122,2025-04-25 17:00:33.532699,2025-04-25 17:00:48.362824,0 days 00:00:14.830125,0.01097154065943619,32,208,304.0,,3,0.0009942669133548654,0.6,checkpoints/mlp_Pc_trial_70_best_state.pt,"{'learning_rate': 0.0009942669133548654, 'lr_reduce': 0.6}",TPESampler,COMPLETE
71,0.23411887884140015,2025-04-25 17:00:34.180444,2025-04-25 17:01:09.432830,0 days 00:00:35.252386,0.2710510342376302,480,208,304.0,128.0,4,0.00020864760406047136,0.6,checkpoints/mlp_Pc_trial_71_best_state.pt,"{'learning_rate': 0.00020864760406047136, 'lr_reduce': 0.6}",TPESampler,COMPLETE
72,0.07764661312103271,2025-04-25 17:00:43.575665,2025-04-25 17:00:59.174930,0 days 00:00:15.599265,0.06536082496787454,80,384,208.0,,3,0.002782394368102012,0.6,checkpoints/mlp_Pc_trial_72_best_state.pt,"{'learning_rate': 0.002782394368102012, 'lr_reduce': 0.6}",TPESampler,COMPLETE
73,0.1695467084646225,2025-04-25 17:00:48.621740,2025-04-25 17:01:19.153833,0 days 00:00:30.532093,0.114359144820365,400,512,,,2,0.00016467617982096188,0.6,checkpoints/mlp_Pc_trial_73_best_state.pt,"{'learning_rate': 0.00016467617982096188, 'lr_reduce': 0.6}",TPESampler,COMPLETE
74,0.07658126950263977,2025-04-25 17:00:59.597909,2025-04-25 17:01:10.397274,0 days 00:00:10.799365,0.013471543917705208,160,304,256.0,,3,0.0022893102954846542,0.6,checkpoints/mlp_Pc_trial_74_best_state.pt,"{'learning_rate': 0.0022893102954846542, 'lr_reduce': 0.6}",TPESampler,COMPLETE
75,0.14710980653762817,2025-04-25 17:01:09.712210,2025-04-25 17:01:34.366287,0 days 00:00:24.654077,0.2531713923390642,464,128,,,2,0.0002847915504760844,0.6,checkpoints/mlp_Pc_trial_75_best_state.pt,"{'learning_rate': 0.0002847915504760844, 'lr_reduce': 0.6}",TPESampler,COMPLETE
76,0.08799523860216141,2025-04-25 17:01:10.663794,2025-04-25 17:01:19.117269,0 days 00:00:08.453475,0.0033294547333570877,208,352,336.0,256.0,4,0.007604726846527172,0.6,checkpoints/mlp_Pc_trial_76_best_state.pt,"{'learning_rate': 0.007604726846527172, 'lr_reduce': 0.6}",TPESampler,COMPLETE
77,0.08972427248954773,2025-04-25 17:01:19.351972,2025-04-25 17:01:31.037341,0 days 00:00:11.685369,0.07586548258109033,64,320,384.0,,3,0.0011262549949207998,0.6,checkpoints/mlp_Pc_trial_77_best_state.pt,"{'learning_rate': 0.0011262549949207998, 'lr_reduce': 0.6}",TPESampler,COMPLETE
78,0.08955120295286179,2025-04-25 17:01:19.421783,2025-04-25 17:01:33.491640,0 days 00:00:14.069857,0.02287291515461451,32,400,368.0,,3,0.00074694496771879,0.6,checkpoints/mlp_Pc_trial_78_best_state.pt,"{'learning_rate': 0.00074694496771879, 'lr_reduce': 0.6}",TPESampler,COMPLETE
79,0.08274097740650177,2025-04-25 17:01:31.315646,2025-04-25 17:01:46.577300,0 days 00:00:15.261654,0.021810356252423772,32,240,256.0,,3,0.0014411764553976204,0.6,checkpoints/mlp_Pc_trial_79_best_state.pt,"{'learning_rate': 0.0014411764553976204, 'lr_reduce': 0.6}",TPESampler,COMPLETE
80,0.06513970345258713,2025-04-25 17:01:33.756144,2025-04-25 17:01:45.607951,0 days 00:00:11.851807,0.016670347222297877,32,352,288.0,,3,0.002335379184091915,0.6,checkpoints/mlp_Pc_trial_80_best_state.pt,"{'learning_rate': 0.002335379184091915, 'lr_reduce': 0.6}",TPESampler,COMPLETE
81,0.08459863066673279,2025-04-25 17:01:34.566707,2025-04-25 17:01:48.678003,0 days 00:00:14.111296,0.02263846801591381,80,256,,,2,0.001773276215960367,0.6,checkpoints/mlp_Pc_trial_81_best_state.pt,"{'learning_rate': 0.001773276215960367, 'lr_reduce': 0.6}",TPESampler,COMPLETE
82,0.09678178280591965,2025-04-25 17:01:45.862184,2025-04-25 17:01:54.230099,0 days 00:00:08.367915,0.004758918700124929,80,336,272.0,,3,0.008268883741535626,0.6,checkpoints/mlp_Pc_trial_82_best_state.pt,"{'learning_rate': 0.008268883741535626, 'lr_reduce': 0.6}",TPESampler,COMPLETE
83,0.07103107869625092,2025-04-25 17:01:46.819541,2025-04-25 17:01:58.996077,0 days 00:00:12.176536,0.005630490967074634,80,400,320.0,,3,0.0014758048543718225,0.6,checkpoints/mlp_Pc_trial_83_best_state.pt,"{'learning_rate': 0.0014758048543718225, 'lr_reduce': 0.6}",TPESampler,COMPLETE
84,0.07341344654560089,2025-04-25 17:01:48.915171,2025-04-25 17:02:00.444756,0 days 00:00:11.529585,0.01490862321769821,48,336,320.0,,3,0.0015401343747269056,0.6,checkpoints/mlp_Pc_trial_84_best_state.pt,"{'learning_rate': 0.0015401343747269056, 'lr_reduce': 0.6}",TPESampler,COMPLETE
