number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
55,0.3273119432365342,2025-04-24 21:36:00.978170,2025-04-24 21:36:03.244726,0 days 00:00:02.266556,0.040815080203804574,9,,2,18,528,0.8108097210372186,TPESampler,COMPLETE
56,0.3113221450754365,2025-04-24 21:36:01.028449,2025-04-24 21:36:03.147153,0 days 00:00:02.118704,0.03546956896940967,10,,1,19,481,0.8546026865768016,TPESampler,COMPLETE
57,0.29487191777711125,2025-04-24 21:36:01.506836,2025-04-24 21:36:04.403329,0 days 00:00:02.896493,0.04761302782502495,9,,1,20,860,0.723411140171329,TPESampler,COMPLETE
58,0.3914259233933323,2025-04-24 21:36:03.308658,2025-04-24 21:36:05.465692,0 days 00:00:02.157034,0.04679174404471327,10,log2,2,6,1090,0.6179464564477039,TPESampler,COMPLETE
59,0.30534838588129043,2025-04-24 21:36:03.444506,2025-04-24 21:36:06.070280,0 days 00:00:02.625774,0.08305058290980931,8,sqrt,1,15,1115,0.7274343523183208,TPESampler,COMPLETE
60,0.3161331814067139,2025-04-24 21:36:04.614427,2025-04-24 21:36:08.240013,0 days 00:00:03.625586,0.040722023302672265,6,,2,20,1253,0.7827944168373996,TPESampler,COMPLETE
61,0.38452386306023933,2025-04-24 21:36:05.664766,2025-04-24 21:36:07.204628,0 days 00:00:01.539862,0.06977580802828043,11,log2,2,20,794,0.6935904744691759,TPESampler,COMPLETE
62,0.3181292140295582,2025-04-24 21:36:06.252438,2025-04-24 21:36:09.627918,0 days 00:00:03.375480,0.04247655744910184,10,,2,16,1071,0.780535971705628,TPESampler,COMPLETE
63,0.2738036958447026,2025-04-24 21:36:07.384127,2025-04-24 21:36:09.955601,0 days 00:00:02.571474,0.059544029804505634,9,,1,20,836,0.744591111876359,TPESampler,COMPLETE
64,0.3398063895675226,2025-04-24 21:36:08.418307,2025-04-24 21:36:11.190856,0 days 00:00:02.772549,0.01926408855650669,4,,2,11,1123,0.7202916294079813,TPESampler,COMPLETE
65,0.28963511754967697,2025-04-24 21:36:09.816765,2025-04-24 21:36:12.208251,0 days 00:00:02.391486,0.04616844788804888,9,,1,18,562,0.652130378959147,TPESampler,COMPLETE
66,0.3152384864229707,2025-04-24 21:36:10.247846,2025-04-24 21:36:12.971504,0 days 00:00:02.723658,0.06555735660581306,6,,2,16,872,0.6530717440828069,TPESampler,COMPLETE
67,0.3327434854773954,2025-04-24 21:36:11.397051,2025-04-24 21:36:14.102034,0 days 00:00:02.704983,0.07988677827168818,11,,3,20,851,0.757778277004904,TPESampler,COMPLETE
68,0.3010221542954619,2025-04-24 21:36:12.383269,2025-04-24 21:36:14.045439,0 days 00:00:01.662170,0.05329417673997363,9,,1,20,466,0.6439379979541568,TPESampler,COMPLETE
69,0.3173663002233313,2025-04-24 21:36:13.153230,2025-04-24 21:36:15.261498,0 days 00:00:02.108268,0.029532603853890393,7,sqrt,1,5,1324,0.7114796979603517,TPESampler,COMPLETE
70,0.3228461889834591,2025-04-24 21:36:14.204208,2025-04-24 21:36:16.920340,0 days 00:00:02.716132,0.04158566768384625,11,,2,13,700,0.66533598271822,TPESampler,COMPLETE
71,0.32590265517801587,2025-04-24 21:36:14.305874,2025-04-24 21:36:16.261023,0 days 00:00:01.955149,0.04673473415824268,11,sqrt,1,18,839,0.8072138389465955,TPESampler,COMPLETE
72,0.3315510424476723,2025-04-24 21:36:15.465461,2025-04-24 21:36:18.737685,0 days 00:00:03.272224,0.015211225473069256,8,,2,6,1271,0.6714093013980506,TPESampler,COMPLETE
73,0.2957158932857412,2025-04-24 21:36:16.443370,2025-04-24 21:36:18.732229,0 days 00:00:02.288859,0.09708745065273675,6,,1,20,877,0.7789086316629464,TPESampler,COMPLETE
74,0.31717491216522614,2025-04-24 21:36:17.127796,2025-04-24 21:36:19.788480,0 days 00:00:02.660684,0.04983559164760303,8,,3,19,930,0.7012180589678079,TPESampler,COMPLETE
75,0.3237070401467483,2025-04-24 21:36:18.878903,2025-04-24 21:36:21.153373,0 days 00:00:02.274470,0.030494598315495038,8,,2,17,592,0.6932717604135875,TPESampler,COMPLETE
76,0.2832084700171349,2025-04-24 21:36:18.921451,2025-04-24 21:36:22.930759,0 days 00:00:04.009308,0.05306278645832931,9,,1,20,1130,0.7424635219214583,TPESampler,COMPLETE
77,0.3525524442925871,2025-04-24 21:36:19.978917,2025-04-24 21:36:21.441403,0 days 00:00:01.462486,0.0575889484845179,9,sqrt,2,9,628,0.8261491308060137,TPESampler,COMPLETE
78,0.3336571803482427,2025-04-24 21:36:21.513365,2025-04-24 21:36:23.725780,0 days 00:00:02.212415,0.03666676272992949,8,sqrt,1,18,902,0.6575913135193461,TPESampler,COMPLETE
79,0.3828286593895825,2025-04-24 21:36:21.588309,2025-04-24 21:36:23.709404,0 days 00:00:02.121095,0.02811344118269581,6,sqrt,2,14,725,0.7500483807927014,TPESampler,COMPLETE
80,0.2884152079406006,2025-04-24 21:36:23.159006,2025-04-24 21:36:27.537718,0 days 00:00:04.378712,0.05205286347661361,11,,1,18,1443,0.6671818520220083,TPESampler,COMPLETE
81,0.292998688299458,2025-04-24 21:36:23.931227,2025-04-24 21:36:27.131361,0 days 00:00:03.200134,0.06368525828162884,12,,1,6,1017,0.6739772671222992,TPESampler,COMPLETE
82,0.30624745735964465,2025-04-24 21:36:23.975411,2025-04-24 21:36:27.250197,0 days 00:00:03.274786,0.013858051680786307,7,,1,17,1336,0.6126257575565615,TPESampler,COMPLETE
83,0.27397276665969994,2025-04-24 21:36:27.301999,2025-04-24 21:36:31.418607,0 days 00:00:04.116608,0.050438563387654095,11,,1,20,1428,0.6886633234014675,TPESampler,COMPLETE
84,0.3643667289144461,2025-04-24 21:36:27.442196,2025-04-24 21:36:30.750833,0 days 00:00:03.308637,0.062097047382088,12,,4,7,1175,0.6460336423288728,TPESampler,COMPLETE
85,0.2875064831423151,2025-04-24 21:36:27.827490,2025-04-24 21:36:30.719027,0 days 00:00:02.891537,0.050441176212829265,12,,1,7,825,0.6532380421138294,TPESampler,COMPLETE
86,0.39821212171858705,2025-04-24 21:36:30.861823,2025-04-24 21:36:33.285344,0 days 00:00:02.423521,0.06395007345431038,11,log2,3,15,1346,0.6466692727556114,TPESampler,COMPLETE
