number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,params_subsample,system_attrs_auto:sampler,state
46,0.3302269034841361,2025-04-24 21:35:57.253113,2025-04-24 21:36:01.875899,0 days 00:00:04.622786,0.059537775230126475,11,,3,18,904,0.8135557231954677,TPESampler,COMPLETE
47,0.32302273455449226,2025-04-24 21:35:57.422306,2025-04-24 21:36:04.014121,0 days 00:00:06.591815,0.04234416239493106,12,,1,18,991,0.9818725321897634,TPESampler,COMPLETE
48,0.3331991696989928,2025-04-24 21:35:58.153269,2025-04-24 21:36:01.419681,0 days 00:00:03.266412,0.014050584605806573,11,,1,7,551,0.896352393380476,TPESampler,COMPLETE
49,0.4692892609703695,2025-04-24 21:36:01.591954,2025-04-24 21:36:03.033813,0 days 00:00:01.441859,0.015557160755703549,11,log2,3,19,913,0.7769778480357028,TPESampler,COMPLETE
50,0.3346173577347916,2025-04-24 21:36:02.068443,2025-04-24 21:36:08.481860,0 days 00:00:06.413417,0.03275892394207159,10,,4,16,1309,0.8750286002447493,TPESampler,COMPLETE
51,0.3666101676877149,2025-04-24 21:36:03.216773,2025-04-24 21:36:08.782249,0 days 00:00:05.565476,0.012361029759766674,12,,5,15,1428,0.6459519803136324,TPESampler,COMPLETE
52,0.33635359667198855,2025-04-24 21:36:04.169913,2025-04-24 21:36:09.245423,0 days 00:00:05.075510,0.05294587472546949,11,,4,19,846,0.9558237431187669,TPESampler,COMPLETE
53,0.3407383959661705,2025-04-24 21:36:08.653389,2025-04-24 21:36:13.553860,0 days 00:00:04.900471,0.013097032110486085,12,,1,11,917,0.7293957258496978,TPESampler,COMPLETE
54,0.3445030132438662,2025-04-24 21:36:09.192133,2025-04-24 21:36:15.230636,0 days 00:00:06.038503,0.05015509539640443,10,,1,13,1042,0.9737988091824115,TPESampler,COMPLETE
55,0.3471677107884199,2025-04-24 21:36:09.477087,2025-04-24 21:36:15.083170,0 days 00:00:05.606083,0.03183103993114728,11,,3,16,915,0.9931994007027216,TPESampler,COMPLETE
56,0.32904355186364065,2025-04-24 21:36:13.729945,2025-04-24 21:36:20.144231,0 days 00:00:06.414286,0.056746139492679065,12,,1,18,948,0.9929525835797178,TPESampler,COMPLETE
57,0.3812997093012475,2025-04-24 21:36:15.295833,2025-04-24 21:36:19.604080,0 days 00:00:04.308247,0.011993439769490298,12,,5,14,768,0.8229313569619338,TPESampler,COMPLETE
58,0.48719414012942003,2025-04-24 21:36:15.365146,2025-04-24 21:36:16.988419,0 days 00:00:01.623273,0.010457537118971804,11,log2,3,13,1026,0.8478086180795416,TPESampler,COMPLETE
59,0.49911492592858653,2025-04-24 21:36:17.155024,2025-04-24 21:36:18.308572,0 days 00:00:01.153548,0.03095663450826113,6,sqrt,9,14,401,0.7617551279775215,TPESampler,COMPLETE
60,0.37498519416808074,2025-04-24 21:36:18.510471,2025-04-24 21:36:19.876419,0 days 00:00:01.365948,0.048807034302762654,12,log2,1,16,817,0.9950430559137362,TPESampler,COMPLETE
61,0.33612625242019323,2025-04-24 21:36:19.788297,2025-04-24 21:36:23.156516,0 days 00:00:03.368219,0.0679428647224879,10,,1,13,564,0.83187269251632,TPESampler,COMPLETE
62,0.3859183760202283,2025-04-24 21:36:20.092848,2025-04-24 21:36:22.557626,0 days 00:00:02.464778,0.010969259570928189,7,,1,17,509,0.8226918866519422,TPESampler,COMPLETE
63,0.3814486119947076,2025-04-24 21:36:20.408530,2025-04-24 21:36:21.962040,0 days 00:00:01.553510,0.02182021531233072,6,,4,19,327,0.7435296526724624,TPESampler,COMPLETE
64,0.36182495996798675,2025-04-24 21:36:22.135502,2025-04-24 21:36:24.502290,0 days 00:00:02.366788,0.039040700307302716,11,sqrt,1,18,1095,0.9871156741998858,TPESampler,COMPLETE
65,0.40655331206929485,2025-04-24 21:36:22.738576,2025-04-24 21:36:24.626114,0 days 00:00:01.887538,0.06198796915696202,11,log2,5,17,955,0.8541441109815185,TPESampler,COMPLETE
66,0.3425147951846047,2025-04-24 21:36:23.364779,2025-04-24 21:36:26.675985,0 days 00:00:03.311206,0.027451716054721763,10,,1,13,569,0.763518641524867,TPESampler,COMPLETE
67,0.44287502620187863,2025-04-24 21:36:24.670646,2025-04-24 21:36:28.041065,0 days 00:00:03.370419,0.09421509550496723,4,,10,15,1298,0.6601249659392017,TPESampler,COMPLETE
68,0.3293906997260083,2025-04-24 21:36:24.804127,2025-04-24 21:36:33.220865,0 days 00:00:08.416738,0.03481449078614111,12,,3,20,1378,0.9678482417266697,TPESampler,COMPLETE
69,0.32288086990380405,2025-04-24 21:36:26.847975,2025-04-24 21:36:29.266076,0 days 00:00:02.418101,0.04388393468879213,10,,2,19,423,0.8539443013604682,TPESampler,COMPLETE
70,0.3217987081667443,2025-04-24 21:36:28.234215,2025-04-24 21:36:35.680734,0 days 00:00:07.446519,0.014405182765038082,12,,1,16,1270,0.8293800946589494,TPESampler,COMPLETE
71,0.3263306348934699,2025-04-24 21:36:29.436517,2025-04-24 21:36:34.612457,0 days 00:00:05.175940,0.01045932929115277,12,,1,12,877,0.8934135551652378,TPESampler,COMPLETE
72,0.34236492717855443,2025-04-24 21:36:33.399332,2025-04-24 21:36:36.640348,0 days 00:00:03.241016,0.03770514780240927,9,,3,18,617,0.8751695655815748,TPESampler,COMPLETE
73,0.33278382198375445,2025-04-24 21:36:34.791951,2025-04-24 21:36:41.077487,0 days 00:00:06.285536,0.010323953743586979,11,,2,11,1070,0.9965013312350588,TPESampler,COMPLETE
74,0.32565152965467786,2025-04-24 21:36:36.058654,2025-04-24 21:36:40.176499,0 days 00:00:04.117845,0.014599142033938747,11,,1,12,674,0.9262140994125924,TPESampler,COMPLETE
75,0.3209551977543942,2025-04-24 21:36:36.873291,2025-04-24 21:36:43.694321,0 days 00:00:06.821030,0.018224969511696935,12,,2,18,1243,0.8491134812428364,TPESampler,COMPLETE
76,0.7554140593731908,2025-04-24 21:36:40.339574,2025-04-24 21:36:41.029659,0 days 00:00:00.690085,0.04003261925773465,12,log2,5,19,205,0.809511542779145,TPESampler,COMPLETE
77,0.3535146095340989,2025-04-24 21:36:41.174125,2025-04-24 21:36:44.820503,0 days 00:00:03.646378,0.018648495692797425,8,,3,13,733,0.9253312843437053,TPESampler,COMPLETE
78,0.34565660446496727,2025-04-24 21:36:41.211831,2025-04-24 21:36:45.557000,0 days 00:00:04.345169,0.014152751027551064,10,,1,17,689,0.997480628462403,TPESampler,COMPLETE
79,0.32051243818983416,2025-04-24 21:36:43.859015,2025-04-24 21:36:49.659130,0 days 00:00:05.800115,0.023745929088692577,9,,2,17,1236,0.8251285521069931,TPESampler,COMPLETE
80,0.319372555241492,2025-04-24 21:36:44.988729,2025-04-24 21:36:52.974020,0 days 00:00:07.985291,0.012543962567145617,12,,2,15,1458,0.831337035916167,TPESampler,COMPLETE
81,0.38914235861947655,2025-04-24 21:36:45.727926,2025-04-24 21:36:47.254197,0 days 00:00:01.526271,0.014953225460847765,12,,2,13,171,0.8536763855201601,TPESampler,COMPLETE
82,0.4282916063223015,2025-04-24 21:36:47.423984,2025-04-24 21:36:49.314242,0 days 00:00:01.890258,0.011434752448844272,9,log2,1,17,1372,0.937336802120908,TPESampler,COMPLETE
83,0.3499707665249189,2025-04-24 21:36:49.477135,2025-04-24 21:36:54.610946,0 days 00:00:05.133811,0.031174313799271672,7,,1,15,1343,0.7341070865795657,TPESampler,COMPLETE
